"hgnc_symbol"	"hgnc_id"	"description"
"CAMK2A"	"HGNC:1460"	"calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]"
"CAMK2B"	"HGNC:1461"	"calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]"
"CAMTA1"	"HGNC:18806"	"calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:HGNC:18806]"
"CARD14"	"HGNC:16446"	"caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]"
"CASP10"	"HGNC:1500"	"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"CASZ1"	"HGNC:26002"	"castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]"
"CBFB"	"HGNC:1539"	"core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]"
"CBL"	"HGNC:1541"	"Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]"
"CCNQ"	"HGNC:28434"	"cyclin Q [Source:HGNC Symbol;Acc:HGNC:28434]"
"CD40LG"	"HGNC:11935"	"CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]"
"CDC42BPB"	"HGNC:1738"	"CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738]"
"CDC73"	"HGNC:16783"	"cell division cycle 73 [Source:HGNC Symbol;Acc:HGNC:16783]"
"CDH1"	"HGNC:1748"	"cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]"
"CDH15"	"HGNC:1754"	"cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]"
"CDK13"	"HGNC:1733"	"cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]"
"CDK4"	"HGNC:1773"	"cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]"
"CDKL5"	"HGNC:11411"	"cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]"
"CDKN1B"	"HGNC:1785"	"cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]"
"CDKN1C"	"HGNC:1786"	"cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]"
"CDKN2A"	"HGNC:1787"	"cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]"
"CDY1"	"HGNC:1809"	"chromodomain Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:1809]"
"CEBPA"	"HGNC:1833"	"CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]"
"CELF4"	"HGNC:14015"	"CUGBP Elav-like family member 4 [Source:HGNC Symbol;Acc:HGNC:14015]"
"CENPP"	"HGNC:32933"	"centromere protein P [Source:HGNC Symbol;Acc:HGNC:32933]"
"CERT1"	"HGNC:2205"	"ceramide transporter 1 [Source:HGNC Symbol;Acc:HGNC:2205]"
"CFC1"	"HGNC:18292"	"cryptic, EGF-CFC family member 1 [Source:HGNC Symbol;Acc:HGNC:18292]"
"CHAMP1"	"HGNC:20311"	"chromosome alignment maintaining phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:20311]"
"CHD1L"	"HGNC:1916"	"chromodomain helicase DNA binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:1916]"
"CHD2"	"HGNC:1917"	"chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]"
"CHD4"	"HGNC:1919"	"chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]"
"CHD5"	"HGNC:16816"	"chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]"
"CHD7"	"HGNC:20626"	"chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]"
"CHD8"	"HGNC:20153"	"chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:HGNC:20153]"
"CHEK1"	"HGNC:1925"	"checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]"
"CHEK2"	"HGNC:16627"	"checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]"
"CHM"	"HGNC:1940"	"CHM Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1940]"
"CHMP7"	"HGNC:28439"	"charged multivesicular body protein 7 [Source:HGNC Symbol;Acc:HGNC:28439]"
"CHRDL1"	"HGNC:29861"	"chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]"
"CHRM3"	"HGNC:1952"	"cholinergic receptor muscarinic 3 [Source:HGNC Symbol;Acc:HGNC:1952]"
"CHRNA7"	"HGNC:1960"	"cholinergic receptor nicotinic alpha 7 subunit [Source:HGNC Symbol;Acc:HGNC:1960]"
"CIC"	"HGNC:14214"	"capicua transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:14214]"
"CITED2"	"HGNC:1987"	"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]"
"CLASP1"	"HGNC:17088"	"cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]"
"CLCN4"	"HGNC:2022"	"chloride voltage-gated channel 4 [Source:HGNC Symbol;Acc:HGNC:2022]"
"CLCN5"	"HGNC:2023"	"chloride voltage-gated channel 5 [Source:HGNC Symbol;Acc:HGNC:2023]"
"CLNK"	"HGNC:17438"	"cytokine dependent hematopoietic cell linker [Source:HGNC Symbol;Acc:HGNC:17438]"
"CLTC"	"HGNC:2092"	"clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]"
"CNKSR2"	"HGNC:19701"	"connector enhancer of kinase suppressor of Ras 2 [Source:HGNC Symbol;Acc:HGNC:19701]"
"CNOT1"	"HGNC:7877"	"CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]"
"CNOT2"	"HGNC:7878"	"CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]"
"CNOT3"	"HGNC:7879"	"CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]"
"CNTN4"	"HGNC:2174"	"contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]"
"CNTN6"	"HGNC:2176"	"contactin 6 [Source:HGNC Symbol;Acc:HGNC:2176]"
"CNTNAP2"	"HGNC:13830"	"contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]"
"COL11A1"	"HGNC:2186"	"collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]"
"COL1A1"	"HGNC:2197"	"collagen type I alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2197]"
"COL1A2"	"HGNC:2198"	"collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]"
"COL2A1"	"HGNC:2200"	"collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]"
"COL3A1"	"HGNC:2201"	"collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]"
"COL4A5"	"HGNC:2207"	"collagen type IV alpha 5 chain [Source:HGNC Symbol;Acc:HGNC:2207]"
"COL5A1"	"HGNC:2209"	"collagen type V alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2209]"
"COL9A1"	"HGNC:2217"	"collagen type IX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2217]"
"COL9A2"	"HGNC:2218"	"collagen type IX alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2218]"
"CPA4"	"HGNC:15740"	"carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]"
"CPA6"	"HGNC:17245"	"carboxypeptidase A6 [Source:HGNC Symbol;Acc:HGNC:17245]"
"CREBBP"	"HGNC:2348"	"CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"CRHR1"	"HGNC:2357"	"corticotropin releasing hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:2357]"
"CRKL"	"HGNC:2363"	"CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]"
"CRYBA1"	"HGNC:2394"	"crystallin beta A1 [Source:HGNC Symbol;Acc:HGNC:2394]"
"CRYBB2"	"HGNC:2398"	"crystallin beta B2 [Source:HGNC Symbol;Acc:HGNC:2398]"
"CRYGC"	"HGNC:2410"	"crystallin gamma C [Source:HGNC Symbol;Acc:HGNC:2410]"
"CSMD1"	"HGNC:14026"	"CUB and Sushi multiple domains 1 [Source:HGNC Symbol;Acc:HGNC:14026]"
"CSNK2A1"	"HGNC:2457"	"casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"CTCF"	"HGNC:13723"	"CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]"
"CTNNA1"	"HGNC:2509"	"catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]"
"CTNNA3"	"HGNC:2511"	"catenin alpha 3 [Source:HGNC Symbol;Acc:HGNC:2511]"
"CTNNB1"	"HGNC:2514"	"catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]"
"CTNND2"	"HGNC:2516"	"catenin delta 2 [Source:HGNC Symbol;Acc:HGNC:2516]"
"CTSB"	"HGNC:2527"	"cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]"
"CUL4B"	"HGNC:2555"	"cullin 4B [Source:HGNC Symbol;Acc:HGNC:2555]"
"CYBB"	"HGNC:2578"	"cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]"
"CYLD"	"HGNC:2584"	"CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]"
"DAZ1"	"HGNC:2682"	"deleted in azoospermia 1 [Source:HGNC Symbol;Acc:HGNC:2682]"
"DCHS1"	"HGNC:13681"	"dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]"
"DCX"	"HGNC:2714"	"doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]"
"DDX3X"	"HGNC:2745"	"DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]"
"DDX41"	"HGNC:18674"	"DEAD-box helicase 41 [Source:HGNC Symbol;Acc:HGNC:18674]"
"DHX57"	"HGNC:20086"	"DExH-box helicase 57 [Source:HGNC Symbol;Acc:HGNC:20086]"
"DICER1"	"HGNC:17098"	"dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]"
"DIP2A"	"HGNC:17217"	"disco interacting protein 2 homolog A [Source:HGNC Symbol;Acc:HGNC:17217]"
"DIRAS3"	"HGNC:687"	"DIRAS family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:687]"
"DIS3L2"	"HGNC:28648"	"DIS3 like 3'-5' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:28648]"
"DISC1"	"HGNC:2888"	"DISC1 scaffold protein [Source:HGNC Symbol;Acc:HGNC:2888]"
"DISP1"	"HGNC:19711"	"dispatched RND transporter family member 1 [Source:HGNC Symbol;Acc:HGNC:19711]"
"DKC1"	"HGNC:2890"	"dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]"
"DLG2"	"HGNC:2901"	"discs large MAGUK scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:2901]"
"DLG3"	"HGNC:2902"	"discs large MAGUK scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:2902]"
"DLGAP2"	"HGNC:2906"	"DLG associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]"
"DLK1"	"HGNC:2907"	"delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]"
"DLL1"	"HGNC:2908"	"delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]"
"DLX1"	"HGNC:2914"	"distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]"
"DLX2"	"HGNC:2915"	"distal-less homeobox 2 [Source:HGNC Symbol;Acc:HGNC:2915]"
"DLX5"	"HGNC:2918"	"distal-less homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2918]"
"DLX6"	"HGNC:2919"	"distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]"
"DMD"	"HGNC:2928"	"dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]"
"DMRT2"	"HGNC:2935"	"doublesex and mab-3 related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2935]"
"DMXL2"	"HGNC:2938"	"Dmx like 2 [Source:HGNC Symbol;Acc:HGNC:2938]"
"DNAJB6"	"HGNC:14888"	"DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]"
"DNAJC21"	"HGNC:27030"	"DnaJ heat shock protein family (Hsp40) member C21 [Source:HGNC Symbol;Acc:HGNC:27030]"
"DNASE1"	"HGNC:2956"	"deoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:2956]"
"DNMT3A"	"HGNC:2978"	"DNA methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978]"
"DPP6"	"HGNC:3010"	"dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]"
"DRD5"	"HGNC:3026"	"dopamine receptor D5 [Source:HGNC Symbol;Acc:HGNC:3026]"
"DSC2"	"HGNC:3036"	"desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]"
"DSG2"	"HGNC:3049"	"desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]"
"DSP"	"HGNC:3052"	"desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]"
"DSPP"	"HGNC:3054"	"dentin sialophosphoprotein [Source:HGNC Symbol;Acc:HGNC:3054]"
"DYRK1A"	"HGNC:3091"	"dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]"
"EBP"	"HGNC:3133"	"EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]"
"EDA"	"HGNC:3157"	"ectodysplasin A [Source:HGNC Symbol;Acc:HGNC:3157]"
"EDNRB"	"HGNC:3180"	"endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]"
"EEF1A2"	"HGNC:3192"	"eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]"
"EFTUD2"	"HGNC:30858"	"elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]"
"EGFR"	"HGNC:3236"	"epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]"
"EGR2"	"HGNC:3239"	"early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]"
"EHMT1"	"HGNC:24650"	"euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650]"
"ELANE"	"HGNC:3309"	"elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]"
"ELAVL2"	"HGNC:3313"	"ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]"
"ELK1"	"HGNC:3321"	"ETS transcription factor ELK1 [Source:HGNC Symbol;Acc:HGNC:3321]"
"ELN"	"HGNC:3327"	"elastin [Source:HGNC Symbol;Acc:HGNC:3327]"
"EMX2"	"HGNC:3341"	"empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]"
"EN2"	"HGNC:3343"	"engrailed homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3343]"
"EP300"	"HGNC:3373"	"E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]"
"ERF"	"HGNC:3444"	"ETS2 repressor factor [Source:HGNC Symbol;Acc:HGNC:3444]"
"ERMARD"	"HGNC:21056"	"ER membrane associated RNA degradation [Source:HGNC Symbol;Acc:HGNC:21056]"
"ETV6"	"HGNC:3495"	"ETS variant transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3495]"
"EVX2"	"HGNC:3507"	"even-skipped homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3507]"
"EXT1"	"HGNC:3512"	"exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]"
"EXT2"	"HGNC:3513"	"exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]"
"EYA1"	"HGNC:3519"	"EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]"
"EYA4"	"HGNC:3522"	"EYA transcriptional coactivator and phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3522]"
"F8"	"HGNC:3546"	"coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]"
"F9"	"HGNC:3551"	"coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551]"
"FANCB"	"HGNC:3583"	"FA complementation group B [Source:HGNC Symbol;Acc:HGNC:3583]"
"FAS"	"HGNC:11920"	"Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]"
"FBN1"	"HGNC:3603"	"fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]"
"FBXW11"	"HGNC:13607"	"F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]"
"FBXW4"	"HGNC:10847"	"F-box and WD repeat domain containing 4 [Source:HGNC Symbol;Acc:HGNC:10847]"
"FGD1"	"HGNC:3663"	"FYVE, RhoGEF and PH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3663]"
"FGF10"	"HGNC:3666"	"fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]"
"FGF12"	"HGNC:3668"	"fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668]"
"FGFR1"	"HGNC:3688"	"fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]"
"FGFR3"	"HGNC:3690"	"fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]"
"FGFRL1"	"HGNC:3693"	"fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]"
"FH"	"HGNC:3700"	"fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]"
