sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"KGD4","Approved symbol","KGD4","alpha-ketoglutarate dehydrogenase subunit 4","HGNC:16631","5q13.2"
"GVQW1","Entry withdrawn","GVQW1","","HGNC:31424",""
"GRIK1-AS2","Approved symbol","GRIK1-AS2","GRIK1 antisense RNA 2","HGNC:1282","21q22.11"
"GPR75-ASB3","Approved symbol","GPR75-ASB3","GPR75-ASB3 readthrough","HGNC:40043","2p16.2"
"FERRY3","Approved symbol","FERRY3","FERRY endosomal RAB5 effector complex subunit 3","HGNC:1184","12p13.32"
"FAM27E2","Approved symbol","FAM27E2","family with sequence similarity 27 member E2","HGNC:32013","9p11.2"
"FAM27D1","Approved symbol","FAM27D1","family with sequence similarity 27 member D1","HGNC:32015","9p11.2"
"FAM153B","Approved symbol","FAM153B","family with sequence similarity 153 member B","HGNC:27323","5q35.2"
"ERCC6-PGBD3","Entry withdrawn","ERCC6-PGBD3","","HGNC:48347",""
"EPCIP-AS1","Approved symbol","EPCIP-AS1","EPCIP antisense RNA 1","HGNC:1290","21q22.11"
"EPCIP","Approved symbol","EPCIP","exosomal polycystin 1 interacting protein","HGNC:1305","21q22.11"
"DRC12","Approved symbol","DRC12","dynein regulatory complex subunit 12 homolog","HGNC:27446","11q23.3"
"CYP4F31P","Approved symbol","CYP4F31P","cytochrome P450 family 4 subfamily F member 31, pseudogene","HGNC:39955","2q21.1"
"CFAP263","Approved symbol","CFAP263","cilia and flagella associated protein 263","HGNC:25002","16q21"
"CFAP184","Approved symbol","CFAP184","cilia and flagella associated protein 184","HGNC:26900","4p16.1"
"CFAP144P1","Approved symbol","CFAP144P1","CFAP144 pseudogene 1","HGNC:34511","7p14.1"
"CCL4L1","Approved symbol","CCL4L1","C-C motif chemokine ligand 4 like 1","HGNC:10631","17q12 alternate reference locus"
"CCL3L1","Approved symbol","CCL3L1","C-C motif chemokine ligand 3 like 1","HGNC:10628","17q12 alternate reference locus"
"CARINH","Approved symbol","CARINH","colitis associated IRF1 antisense regulator of intestinal homeostasis","HGNC:33838","5q31.1"
"C9orf38","Entry withdrawn","C9orf38","","HGNC:23398",""
"C6orf50","Entry withdrawn","C6orf50","","HGNC:20481",""
"C1orf134","Entry withdrawn","C1orf134","","HGNC:32021",""
"C10orf126","Approved symbol","C10orf126","chromosome 10 open reading frame 126","HGNC:28693","10p12.1"
"AKAP2","Approved symbol","AKAP2","A-kinase anchoring protein 2","HGNC:372","9q31.3"
"gene","Unmatched","","","",""
"FLJ00418","Unmatched","","","",""
"HUG1","Unmatched","","","",""
"DKFZP779J2370","Unmatched","","","",""
"DKFZP761J1410","Unmatched","","","",""
"FLJ00104","Unmatched","","","",""
"FLJ27365","Unmatched","","","",""
"CSNK2B-LY6G5B-1181","Unmatched","","","",""
"SF3B14","Unmatched","","","",""
"FLJ20373","Unmatched","","","",""
"DKFZP779L1853","Unmatched","","","",""
"FAM21D","Unmatched","","","",""
"PRED58","Unmatched","","","",""
"KM-PA-2","Unmatched","","","",""
"FLJ00273","Unmatched","","","",""
"DKFZP434E1119","Unmatched","","","",""
"FKSG63","Unmatched","","","",""
"FLJ00388","Unmatched","","","",""
"RAD51L3-RFFL","Unmatched","","","",""
"FLJ45079","Unmatched","","","",""
"HBCBP","Unmatched","","","",""
"FP15737","Unmatched","","","",""
"DKFZP667F0711","Unmatched","","","",""
"FLJ20306","Unmatched","","","",""
"C17orf61-PLSCR3","Unmatched","","","",""
"FKSG48","Unmatched","","","",""
"PP13439","Unmatched","","","",""
"DKFZP434O1614","Unmatched","","","",""
"DKFZP434H0512","Unmatched","","","",""
"PP13004","Unmatched","","","",""
"FKSG68","Unmatched","","","",""
"FKSG61","Unmatched","","","",""
"EIF2S3L","Unmatched","","","",""
"MGC10955","Unmatched","","","",""
"FKSG52","Unmatched","","","",""
"FKSG62","Unmatched","","","",""
