gene	enhancer_Gnocchi	Approved_Symbol	HGNC_ID
KCNAB2	5.408319917999999	KCNAB2	HGNC:6229
NPHP4	4.300327032	NPHP4	HGNC:19104
CHD5	8.484611381	CHD5	HGNC:16816
HES2	4.631310339	HES2	HGNC:16005
GPR153	5.901121858	GPR153	HGNC:23618
ICMT	3.309271215	ICMT	HGNC:5350
HES3	6.246813007999999	HES3	HGNC:26226
RNF207	2.171618376	RNF207	HGNC:32947
ACOT7	4.635297637	ACOT7	HGNC:24157
TNFRSF25	3.717432838	TNFRSF25	HGNC:11910
ESPN	3.687736609	ESPN	HGNC:13281
PLEKHG5	4.253309219	PLEKHG5	HGNC:29105
KLHL21	4.253309219	KLHL21	HGNC:29041
TAS1R1	4.253309219	TAS1R1	HGNC:14448
NOL9	4.539742929	NOL9	HGNC:26265
ZBTB48	4.539742929	ZBTB48	HGNC:4930
PHF13	3.301404955	PHF13	HGNC:22983
THAP3	3.2595313260000003	THAP3	HGNC:20855
DNAJC11	1.642700558	DNAJC11	HGNC:25570
CAMTA1	3.445228086	CAMTA1	HGNC:18806
PER3	4.226521473	PER3	HGNC:8847
UTS2	1.682253542	UTS2	HGNC:12636
TNFRSF9	2.639673759	TNFRSF9	HGNC:11924
ERRFI1	3.290415135	ERRFI1	HGNC:18185
PARK7	2.639673759	PARK7	HGNC:16369
SLC45A1	1.2976279309999998	SLC45A1	HGNC:17939
RERE	1.671761356	RERE	HGNC:9965
ENO1	1.783419752	ENO1	HGNC:3350
SLC2A7	3.281918338	SLC2A7	HGNC:13445
CA6	2.667204274	CA6	HGNC:1380
SLC2A5	5.928260546000001	SLC2A5	HGNC:11010
GPR157	4.649245326	GPR157	HGNC:23687
H6PD	4.342782175	H6PD	HGNC:4795
SPSB1	4.845343057	SPSB1	HGNC:30628
SLC25A33	2.663434377	SLC25A33	HGNC:29681
PIK3CD	2.957909355	PIK3CD	HGNC:8977
TMEM201	5.695638452000001	TMEM201	HGNC:33719
CLSTN1	5.128042661	CLSTN1	HGNC:17447
LZIC	4.2564804910000005	LZIC	HGNC:17497
CTNNBIP1	4.278612402	CTNNBIP1	HGNC:16913
NMNAT1	3.160918104	NMNAT1	HGNC:17877
RBP7	2.30628747	RBP7	HGNC:30316
UBE4B	2.070917877	UBE4B	HGNC:12500
KIF1B	4.089921252	KIF1B	HGNC:16636
PGD	-0.2361149568	PGD	HGNC:8891
CORT	2.9581992610000003	CORT	HGNC:2257
PEX14	-0.4309178112	PEX14	HGNC:8856
DFFA	2.631878366	DFFA	HGNC:2772
CASZ1	6.259689077000001	CASZ1	HGNC:26002
MASP2	3.755994558	MASP2	HGNC:6902
C1orf127	4.581018202	C1orf127	HGNC:26730
TARDBP	2.6927829560000003	TARDBP	HGNC:11571
SRM	2.833834025	SRM	HGNC:11296
ANGPTL7	3.252351478	ANGPTL7	HGNC:24078
EXOSC10	0.7943635672	EXOSC10	HGNC:9138
UBIAD1	1.689741937	UBIAD1	HGNC:30791
MAD2L2	4.693444085	MAD2L2	HGNC:6764
DRAXIN	4.693444085	DRAXIN	HGNC:25054
FBXO6	3.456233044	FBXO6	HGNC:13585
FBXO44	3.157313023	FBXO44	HGNC:24847
CLCN6	4.780260381000001	CLCN6	HGNC:2024
MTHFR	4.907948953	MTHFR	HGNC:7436
AGTRAP	3.472607877	AGTRAP	HGNC:13539
C1orf167	3.042275792	C1orf167	HGNC:25262
NPPA	2.9675235360000003	NPPA	HGNC:7939
NPPB	4.907948953	NPPB	HGNC:7940
MFN2	3.365848847	MFN2	HGNC:16877
KIAA2013	2.858371328	KIAA2013	HGNC:28513
PLOD1	2.108213938	PLOD1	HGNC:9081
MIIP	3.749124355	MIIP	HGNC:25715
TNFRSF8	4.014691108	TNFRSF8	HGNC:11923
TNFRSF1B	5.352356655	TNFRSF1B	HGNC:11917
VPS13D	4.304367093	VPS13D	HGNC:23595
DHRS3	6.17905809	DHRS3	HGNC:17693
AADACL3	3.4755168210000003	AADACL3	HGNC:32037
AADACL4	3.679317123	AADACL4	HGNC:32038
C1orf158	2.859531815	CFAP107	HGNC:28567
LRRC38	2.913393293	LRRC38	HGNC:27005
PRAMEF20	4.426140586	PRAMEF20	HGNC:25224
PRAMEF17	4.426140586	PRAMEF17	HGNC:29485
PRAMEF15	2.342881122	PRAMEF15	HGNC:26764
PRAMEF19	2.342881122	PRAMEF19	HGNC:24908
PDPN	2.189816074	PDPN	HGNC:29602
PRDM2	4.113557682	PRDM2	HGNC:9347
KAZN	3.439358287	KAZN	HGNC:29173
TMEM51	4.57381296	TMEM51	HGNC:25488
FHAD1	5.133224122	FHAD1	HGNC:29408
AGMAT	3.415860136	AGMAT	HGNC:18407
CASP9	3.674525942	CASP9	HGNC:1511
EFHD2	3.921653902	EFHD2	HGNC:28670
CTRC	3.2463651610000004	CTRC	HGNC:2523
DNAJC16	2.283510216	DNAJC16	HGNC:29157
CELA2A	2.711855373	CELA2A	HGNC:24609
CELA2B	2.711855373	CELA2B	HGNC:29995
DDI2	2.885549959	DDI2	HGNC:24578
RSC1A1	1.715968559	RSC1A1	HGNC:10458
PLEKHM2	2.129164397	PLEKHM2	HGNC:29131
SLC25A34	4.110375745	SLC25A34	HGNC:27653
FBLIM1	2.420070212	FBLIM1	HGNC:24686
TMEM82	6.215336225	TMEM82	HGNC:32350
SPEN	2.823064235	SPEN	HGNC:17575
HSPB7	2.700007124	HSPB7	HGNC:5249
FAM131C	2.8023493489999995	FAM131C	HGNC:26717
ZBTB17	3.755843258	ZBTB17	HGNC:12936
CLCNKA	2.753048708	CLCNKA	HGNC:2026
CLCNKB	2.855040003	CLCNKB	HGNC:2027
EPHA2	3.519014972	EPHA2	HGNC:3386
ARHGEF19	3.510661034	ARHGEF19	HGNC:26604
FBXO42	3.692315405	FBXO42	HGNC:29249
SZRD1	3.880585891	SZRD1	HGNC:30232
SPATA21	3.939537941	SPATA21	HGNC:28026
NECAP2	3.462892138	NECAP2	HGNC:25528
MFAP2	5.177001098	MFAP2	HGNC:7033
SDHB	1.834250428	SDHB	HGNC:10681
PADI2	2.082960914	PADI2	HGNC:18341
PADI3	3.773754265	PADI3	HGNC:18337
PADI1	3.773754265	PADI1	HGNC:18367
PADI4	1.5903971280000002	PADI4	HGNC:18368
RCC2	2.679881566	RCC2	HGNC:30297
ACTL8	2.784740122	ACTL8	HGNC:24018
ARHGEF10L	6.026999879	ARHGEF10L	HGNC:25540
IGSF21	3.887750402	IGSF21	HGNC:28246
KLHDC7A	3.333963839	KLHDC7A	HGNC:26791
PAX7	4.785004352	PAX7	HGNC:8621
IFFO2	3.171625549	IFFO2	HGNC:27006
TAS1R2	3.947281513	TAS1R2	HGNC:14905
ALDH4A1	4.456499909	ALDH4A1	HGNC:406
UBR4	4.644267066	UBR4	HGNC:30313
EMC1	2.118335085	EMC1	HGNC:28957
MRTO4	2.575462639	MRTO4	HGNC:18477
AKR7A3	1.462609161	AKR7A3	HGNC:390
AKR7A2	2.328733781	AKR7A2	HGNC:389
CAPZB	3.49801081	CAPZB	HGNC:1491
NBL1	4.676623706	NBL1	HGNC:7650
HTR6	4.676623706	HTR6	HGNC:5301
RNF186	2.971310553	RNF186	HGNC:25978
TMCO4	3.412278564	TMCO4	HGNC:27393
PLA2G2E	2.345474922	PLA2G2E	HGNC:13414
OTUD3	1.888739172	OTUD3	HGNC:29038
PLA2G2A	1.620989078	PLA2G2A	HGNC:9031
PLA2G5	2.435753032	PLA2G5	HGNC:9038
PLA2G2D	1.7780153230000002	PLA2G2D	HGNC:9033
PLA2G2F	3.402274545	PLA2G2F	HGNC:30040
PLA2G2C	3.552415902	PLA2G2C	HGNC:9032
UBXN10	3.552415902	UBXN10	HGNC:26354
VWA5B1	3.231142473	VWA5B1	HGNC:26538
CAMK2N1	6.7687704	CAMK2N1	HGNC:24190
MUL1	2.121932315	MUL1	HGNC:25762
FAM43B	3.898306996	FAM43B	HGNC:31791
CDA	3.631121626	CDA	HGNC:1712
SH2D5	5.143907149	SH2D5	HGNC:28819
PINK1	3.853428699	PINK1	HGNC:14581
KIF17	3.637675385	KIF17	HGNC:19167
HP1BP3	2.890618032	HP1BP3	HGNC:24973
EIF4G3	2.102101148	EIF4G3	HGNC:3298
ECE1	4.591346929	ECE1	HGNC:3146
NBPF3	3.721508277	NBPF3	HGNC:25076
ALPL	6.043288884	ALPL	HGNC:438
RAP1GAP	6.151834771	RAP1GAP	HGNC:9858
USP48	2.257896445	USP48	HGNC:18533
HSPG2	2.560135846	HSPG2	HGNC:5273
LDLRAD2	4.396721653	LDLRAD2	HGNC:32071
CELA3B	1.772300994	CELA3B	HGNC:15945
CELA3A	1.377333224	CELA3A	HGNC:15944
CDC42	1.295491548	CDC42	HGNC:1736
WNT4	5.244738487	WNT4	HGNC:12783
ZBTB40	2.957741749	ZBTB40	HGNC:29045
EPHA8	3.950966395	EPHA8	HGNC:3391
C1QA	3.035228828	C1QA	HGNC:1241
C1QB	2.857544649	C1QB	HGNC:1242
C1QC	3.035228828	C1QC	HGNC:1245
EPHB2	4.603675324	EPHB2	HGNC:3393
LACTBL1	3.976805976	LACTBL1	HGNC:35445
KDM1A	3.482874157	KDM1A	HGNC:29079
LUZP1	3.152865665	LUZP1	HGNC:14985
HTR1D	4.598354391	HTR1D	HGNC:5289
HNRNPR	3.448604491	HNRNPR	HGNC:5047
ZNF436	3.2875878110000003	ZNF436	HGNC:20814
TCEA3	2.713234225	TCEA3	HGNC:11615
ASAP3	3.2875878110000003	ASAP3	HGNC:14987
E2F2	2.619421665	E2F2	HGNC:3114
ID3	2.579742851	ID3	HGNC:5362
HMGCL	4.008821751	HMGCL	HGNC:5005
FUCA1	3.781114479	FUCA1	HGNC:4006
GALE	3.802531793	GALE	HGNC:4116
PITHD1	3.802531793	PITHD1	HGNC:25022
CNR2	1.518284586	CNR2	HGNC:2160
SRSF10	3.380094881	SRSF10	HGNC:16713
PNRC2	2.151722117	PNRC2	HGNC:23158
MYOM3	2.494721634	MYOM3	HGNC:26679
IL22RA1	3.5075761739999995	IL22RA1	HGNC:13700
IFNLR1	3.389397185	IFNLR1	HGNC:18584
GRHL3	4.965813942	GRHL3	HGNC:25839
STPG1	4.824691415	STPG1	HGNC:28070
NIPAL3	3.574423652	NIPAL3	HGNC:25233
RCAN3	3.3112364060000004	RCAN3	HGNC:3042
NCMAP	4.039015022	NCMAP	HGNC:29332
SRRM1	3.625325708	SRRM1	HGNC:16638
CLIC4	2.92369889	CLIC4	HGNC:13518
RUNX3	4.771859246	RUNX3	HGNC:10473
RHD	2.54973072	RHD	HGNC:10009
SYF2	2.61660355	SYF2	HGNC:19824
TMEM50A	3.154714505	TMEM50A	HGNC:30590
RHCE	2.54973072	RHCE	HGNC:10008
LDLRAP1	4.753808876	LDLRAP1	HGNC:18640
MAN1C1	5.109823372	MAN1C1	HGNC:19080
MTFR1L	4.501680095	MTFR1L	HGNC:28836
PAQR7	3.4735487810000003	PAQR7	HGNC:23146
AUNIP	3.781748971	AUNIP	HGNC:28363
STMN1	4.172296116	STMN1	HGNC:6510
PAFAH2	3.4735487810000003	PAFAH2	HGNC:8579
SLC30A2	5.224818808	SLC30A2	HGNC:11013
EXTL1	4.468956925	EXTL1	HGNC:3515
TRIM63	5.224818808	TRIM63	HGNC:16007
PDIK1L	3.454659055	PDIK1L	HGNC:18981
CEP85	3.454659055	CEP85	HGNC:25309
FAM110D	3.198017227	FAM110D	HGNC:25860
CATSPER4	4.25643988	CATSPER4	HGNC:23220
CNKSR1	2.845199119	CNKSR1	HGNC:19700
UBXN11	3.879500168	UBXN11	HGNC:30600
ZNF683	3.614506298	ZNF683	HGNC:28495
CD52	2.039377867	CD52	HGNC:1804
LIN28A	2.1973577	LIN28A	HGNC:15986
HMGN2	3.076575267	HMGN2	HGNC:4986
DHDDS	-2.476120468	DHDDS	HGNC:20603
ARID1A	3.068537025	ARID1A	HGNC:11110
GPN2	3.965192646	GPN2	HGNC:25513
SFN	4.882625929	SFN	HGNC:10773
PIGV	3.965192646	PIGV	HGNC:26031
ZDHHC18	3.086071871	ZDHHC18	HGNC:20712
NR0B2	4.363869418	NR0B2	HGNC:7961
NUDC	2.917014029	NUDC	HGNC:8045
TRNP1	4.363869418	TRNP1	HGNC:34348
SLC9A1	3.219041246	SLC9A1	HGNC:11071
WDTC1	2.744342508	WDTC1	HGNC:29175
GPR3	4.824707581	GPR3	HGNC:4484
TMEM222	2.612294319	TMEM222	HGNC:25363
WASF2	5.155664254	WASF2	HGNC:12733
MAP3K6	4.618225181000001	MAP3K6	HGNC:6858
CD164L2	5.155664254	CD164L2	HGNC:32043
FCN3	4.824707581	FCN3	HGNC:3625
AHDC1	5.433951249	AHDC1	HGNC:25230
IFI6	4.093341393	IFI6	HGNC:4054
FGR	3.188543505	FGR	HGNC:3697
FAM76A	2.589063956	FAM76A	HGNC:28530
STX12	2.745807514	STX12	HGNC:11430
PPP1R8	2.95727238	PPP1R8	HGNC:9296
THEMIS2	3.528802858	THEMIS2	HGNC:16839
RPA2	3.497665763	RPA2	HGNC:10290
PTAFR	3.848712343	PTAFR	HGNC:9582
SMPDL3B	2.976019786	SMPDL3B	HGNC:21416
XKR8	3.408023244	XKR8	HGNC:25508
EYA3	3.589627403	EYA3	HGNC:3521
DNAJC8	2.419278461	DNAJC8	HGNC:15470
SESN2	1.309905223	SESN2	HGNC:20746
RCC1	2.908754945	RCC1	HGNC:1913
PHACTR4	3.747881073	PHACTR4	HGNC:25793
TRNAU1AP	0.3289150134	TRNAU1AP	HGNC:30813
RAB42	1.644092594	RAB42	HGNC:28702
TAF12	2.618922059	TAF12	HGNC:11545
GMEB1	3.139534089	GMEB1	HGNC:4370
YTHDF2	1.988104847	YTHDF2	HGNC:31675
OPRD1	3.457918447	OPRD1	HGNC:8153
EPB41	3.736559613	EPB41	HGNC:3377
TMEM200B	2.417999333	TMEM200B	HGNC:33785
SRSF4	-0.2257991197	SRSF4	HGNC:10786
MECR	3.2810009910000004	MECR	HGNC:19691
PTPRU	6.050039841	PTPRU	HGNC:9683
MATN1	3.562417985	MATN1	HGNC:6907
LAPTM5	2.8338361830000003	LAPTM5	HGNC:29612
SDC3	2.987995232	SDC3	HGNC:10660
PUM1	2.5377951380000003	PUM1	HGNC:14957
SNRNP40	-0.7620287472	SNRNP40	HGNC:30857
NKAIN1	4.020399667	NKAIN1	HGNC:25743
ZCCHC17	3.140239368	ZCCHC17	HGNC:30246
FABP3	3.493115528	FABP3	HGNC:3557
SERINC2	3.303932829	SERINC2	HGNC:23231
TINAGL1	2.672222268	TINAGL1	HGNC:19168
SPOCD1	4.208236633	SPOCD1	HGNC:26338
PEF1	3.303932829	PEF1	HGNC:30009
HCRTR1	3.91673567	HCRTR1	HGNC:4848
COL16A1	3.826477384	COL16A1	HGNC:2193
PTP4A2	2.178226585	PTP4A2	HGNC:9635
KHDRBS1	3.103737612	KHDRBS1	HGNC:18116
TMEM39B	0.4732472237	TMEM39B	HGNC:25510
KPNA6	1.369660481	KPNA6	HGNC:6399
TXLNA	2.511375908	TXLNA	HGNC:30685
IQCC	4.658691021	IQCC	HGNC:25545
DCDC2B	3.166159049	DCDC2B	HGNC:32576
CCDC28B	4.017721622	CCDC28B	HGNC:28163
EIF3I	2.131268594	EIF3I	HGNC:3272
HDAC1	4.017721622	HDAC1	HGNC:4852
BSDC1	3.0863823810000004	BSDC1	HGNC:25501
MARCKSL1	4.592959365	MARCKSL1	HGNC:7142
FAM167B	4.592959365	FAM167B	HGNC:28133
LCK	2.776680205	LCK	HGNC:6524
TSSK3	3.965063718	TSSK3	HGNC:15473
ZBTB8A	3.617117675	ZBTB8A	HGNC:24172
ZBTB8OS	3.165144067	ZBTB8OS	HGNC:24094
RBBP4	1.42185968	RBBP4	HGNC:9887
SYNC	3.370034216	SYNC	HGNC:28897
KIAA1522	3.233719745	NHSL3	HGNC:29301
YARS	2.374727321	YARS1	HGNC:12840
S100PBP	3.177942422	S100PBP	HGNC:25768
HPCA	6.959867067999999	HPCA	HGNC:5144
FNDC5	3.710069828	FNDC5	HGNC:20240
TMEM54	4.930364303999999	TMEM54	HGNC:24143
RNF19B	2.505573812	RNF19B	HGNC:26886
AK2	2.973042684	AK2	HGNC:362
TRIM62	3.315939449	TRIM62	HGNC:25574
ZNF362	4.346856382	ZNF362	HGNC:18079
PHC2	3.526879479	PHC2	HGNC:3183
ZSCAN20	2.966100418	ZSCAN20	HGNC:13093
HMGB4	3.462474223	HMGB4	HGNC:24954
C1orf94	3.512285323	C1orf94	HGNC:28250
GJB4	4.443208599	GJB4	HGNC:4286
GJB5	4.443208599	GJB5	HGNC:4287
GJB3	4.443208599	GJB3	HGNC:4285
DLGAP3	4.20456469	DLGAP3	HGNC:30368
GJA4	3.081036424	GJA4	HGNC:4278
SMIM12	2.173535562	SMIM12	HGNC:25154
ZMYM6	1.481958497	ZMYM6	HGNC:13050
ZMYM1	3.1066731510000003	ZMYM1	HGNC:26253
SFPQ	2.930730855	SFPQ	HGNC:10774
ZMYM4	0.9966489936	ZMYM4	HGNC:13055
TFAP2E	4.240674227	TFAP2E	HGNC:30774
KIAA0319L	2.78760783	KIAA0319L	HGNC:30071
NCDN	3.623852588	NCDN	HGNC:17597
PSMB2	0.4326486266	PSMB2	HGNC:9539
C1orf216	2.768760247	C1orf216	HGNC:26800
CLSPN	3.006886911	CLSPN	HGNC:19715
AGO4	2.315694359	AGO4	HGNC:18424
AGO1	2.673465735	AGO1	HGNC:3262
AGO3	5.134614541	AGO3	HGNC:18421
TRAPPC3	3.410728897	TRAPPC3	HGNC:19942
TEKT2	2.886901212	TEKT2	HGNC:11725
MAP7D1	3.099763193	MAP7D1	HGNC:25514
COL8A2	5.711506827000001	COL8A2	HGNC:2216
ADPRHL2	3.099763193	ADPRS	HGNC:21304
EVA1B	3.627974452	EVA1B	HGNC:25558
STK40	2.86652184	STK40	HGNC:21373
SH3D21	3.627974452	SH3D21	HGNC:26236
LSM10	2.86652184	LSM10	HGNC:17562
CSF3R	4.549440367	CSF3R	HGNC:2439
OSCP1	3.647956951	OSCP1	HGNC:29971
GRIK3	3.384493049	GRIK3	HGNC:4581
ZC3H12A	6.01332179	ZC3H12A	HGNC:26259
GNL2	5.011547806	GNL2	HGNC:29925
SNIP1	2.611313595	SNIP1	HGNC:30587
DNALI1	2.448286106	DNALI1	HGNC:14353
RSPO1	3.585131654	RSPO1	HGNC:21679
C1orf109	2.455125427	AIRIM	HGNC:26039
EPHA10	5.033837376	EPHA10	HGNC:19987
C1orf122	1.909245415	C1orf122	HGNC:24789
INPP5B	3.162933851	INPP5B	HGNC:6077
MTF1	-0.4112443275999999	MTF1	HGNC:7428
FHL3	3.0996645760000003	FHL3	HGNC:3704
SF3A3	2.708008935	SF3A3	HGNC:10767
POU3F1	4.084886348	POU3F1	HGNC:9214
MYCBP	2.89899795	MYCBP	HGNC:7554
GJA9	2.89899795	GJA9	HGNC:19155
RHBDL2	1.720323003	RHBDL2	HGNC:16083
AKIRIN1	2.8009890960000003	AKIRIN1	HGNC:25744
NDUFS5	2.106196446	NDUFS5	HGNC:7712
MACF1	2.975809232	MACF1	HGNC:13664
HPCAL4	3.709316358	HPCAL4	HGNC:18212
HEYL	3.038661774	HEYL	HGNC:4882
BMP8A	3.839052738	BMP8A	HGNC:21650
PABPC4	-4.010027037	PABPC4	HGNC:8557
NT5C1A	3.748277484	NT5C1A	HGNC:17819
OXCT2	3.748277484	OXCT2	HGNC:18606
PPIE	3.372363037	PPIE	HGNC:9258
TRIT1	3.813848703	TRIT1	HGNC:20286
BMP8B	2.968054801	BMP8B	HGNC:1075
MYCL	3.813848703	MYCL	HGNC:7555
MFSD2A	4.207144358	MFSD2A	HGNC:25897
CAP1	2.873258535	CAP1	HGNC:20040
PPT1	3.00586646	PPT1	HGNC:9325
RLF	3.926955095	RLF	HGNC:10025
COL9A2	1.945660131	COL9A2	HGNC:2218
SMAP2	2.853129088	SMAP2	HGNC:25082
TMCO2	1.331259424	TMCO2	HGNC:23312
ZFP69B	0.5293449705	ZFP69B	HGNC:28053
ZFP69	2.661065353	ZFP69	HGNC:24708
ZNF684	4.16970615	ZNF684	HGNC:28418
EXO5	3.14833665	EXO5	HGNC:26115
RIMS3	3.888464933	RIMS3	HGNC:21292
CITED4	2.277726427	CITED4	HGNC:18696
KCNQ4	4.501410955	KCNQ4	HGNC:6298
CTPS1	4.030456694	CTPS1	HGNC:2519
SLFNL1	0.7550139964	SLFNL1	HGNC:26313
SCMH1	2.013750385	SCMH1	HGNC:19003
FOXO6	4.027963721	FOXO6	HGNC:24814
EDN2	3.711292447	EDN2	HGNC:3177
HIVEP3	3.235817204	HIVEP3	HGNC:13561
GUCA2B	2.549264676	GUCA2B	HGNC:4683
GUCA2A	2.549264676	GUCA2A	HGNC:4682
FOXJ3	1.60514851	FOXJ3	HGNC:29178
ZMYND12	2.366620398	ZMYND12	HGNC:21192
RIMKLA	4.608019679	RIMKLA	HGNC:28725
CCDC30	4.608019679	CCDC30	HGNC:26103
CLDN19	2.567240339	CLDN19	HGNC:2040
PPIH	5.138522185	PPIH	HGNC:14651
C1orf50	4.916796534	C1orf50	HGNC:28795
ERMAP	4.040218979	ERMAP	HGNC:15743
ZNF691	3.642852797	ZNF691	HGNC:28028
SLC2A1	4.241362875	SLC2A1	HGNC:11005
FAM183A	3.2234792710000004	CFAP144	HGNC:34347
EBNA1BP2	3.078000694	EBNA1BP2	HGNC:15531
TIE1	3.593284107	TIE1	HGNC:11809
MED8	3.919315722	MED8	HGNC:19971
TMEM125	3.573644934	TMEM125	HGNC:28275
C1orf210	3.4791852660000004	C1orf210	HGNC:28755
ELOVL1	3.102060742	ELOVL1	HGNC:14418
MPL	4.072073732	MPL	HGNC:7217
CDC20	2.332235484	CDC20	HGNC:1723
PTPRF	5.176953743	PTPRF	HGNC:9670
HYI	2.713698177	HYI	HGNC:26948
KDM4A	2.8918054860000004	KDM4A	HGNC:22978
ST3GAL3	1.645817101	ST3GAL3	HGNC:10866
ARTN	3.707552381	ARTN	HGNC:727
IPO13	5.302762643	IPO13	HGNC:16853
ATP6V0B	2.824306585	ATP6V0B	HGNC:861
DPH2	4.799688272	DPH2	HGNC:3004
CCDC24	4.286641476000001	CCDC24	HGNC:28688
B4GALT2	4.286641476000001	B4GALT2	HGNC:925
SLC6A9	4.285991875	SLC6A9	HGNC:11056
KLF17	3.668880062	KLF17	HGNC:18830
DMAP1	3.80828905	DMAP1	HGNC:18291
ERI3	2.518509127	ERI3	HGNC:17276
RNF220	3.927333342	RNF220	HGNC:25552
KIF2C	4.237704593	KIF2C	HGNC:6393
TMEM53	4.5014863	TMEM53	HGNC:26186
PTCH2	2.664391659	PTCH2	HGNC:9586
TCTEX1D4	3.948759436000001	DYNLT4	HGNC:32315
PLK3	2.588756881	PLK3	HGNC:2154
EIF2B3	3.224989535	EIF2B3	HGNC:3259
BTBD19	3.673437088	BTBD19	HGNC:27145
UROD	2.138012115	UROD	HGNC:12591
HECTD3	2.916447573	HECTD3	HGNC:26117
ZSWIM5	3.691463352	ZSWIM5	HGNC:29299
TOE1	3.786472407	TOE1	HGNC:15954
MUTYH	4.233987493	MUTYH	HGNC:7527
HPDL	3.176439667	HPDL	HGNC:28242
TESK2	3.770693338	TESK2	HGNC:11732
AKR1A1	3.770693338	AKR1A1	HGNC:380
MMACHC	2.717576812	MMACHC	HGNC:24525
PRDX1	-1.249469069	PRDX1	HGNC:9352
NASP	2.38541615	NASP	HGNC:7644
GPBP1L1	3.532114513	GPBP1L1	HGNC:28843
TMEM69	3.532114513	TMEM69	HGNC:28035
CCDC17	-1.083971887	CCDC17	HGNC:26574
MAST2	2.427521681	MAST2	HGNC:19035
PIK3R3	3.887686429	PIK3R3	HGNC:8981
TSPAN1	3.046734129	TSPAN1	HGNC:20657
POMGNT1	3.046734129	POMGNT1	HGNC:19139
UQCRH	3.411819463	UQCRH	HGNC:12590
RAD54L	4.348163846	RAD54L	HGNC:9826
LURAP1	3.046734129	LURAP1	HGNC:32327
LRRC41	1.730799365	LRRC41	HGNC:16917
NSUN4	3.411819463	NSUN4	HGNC:31802
KNCN	4.871992488	KNCN	HGNC:26488
FAAH	4.49217577	FAAH	HGNC:3553
DMBX1	4.871992488	DMBX1	HGNC:19026
ATPAF1	4.497862788	ATPAF1	HGNC:18803
MOB3C	4.05455637	MOB3C	HGNC:29800
MKNK1	3.937419103	MKNK1	HGNC:7110
EFCAB14	3.481859554	EFCAB14	HGNC:29051
CYP4B1	3.128462925	CYP4B1	HGNC:2644
CYP4A11	0.8487568503	CYP4A11	HGNC:2642
CYP4X1	2.662757015	CYP4X1	HGNC:20244
CYP4A22	1.190430055	CYP4A22	HGNC:20575
CYP4Z1	1.865926837	CYP4Z1	HGNC:20583
STIL	2.614103983	STIL	HGNC:10879
TAL1	1.999685683	TAL1	HGNC:11556
PDZK1IP1	2.8922378230000003	PDZK1IP1	HGNC:16887
FOXE3	2.9577027680000003	FOXE3	HGNC:3808
CMPK1	2.136406216	CMPK1	HGNC:18170
