gene	transcript	mean_am_pathogenicity_bin	mean_am_pathogenicity	Approved_Symbol	HGNC_ID
HIST2H2AC	ENST00000331380	0	0.792183213	H2AC20	HGNC:4738
NUDT21	ENST00000300291	0	0.791964627	NUDT21	HGNC:13870
TUBA1C	ENST00000301072	0	0.791734683	TUBA1C	HGNC:20768
PPP1CB	ENST00000395366	0	0.790397644	PPP1CB	HGNC:9282
TUBA3C	ENST00000400113	0	0.789810279	TUBA3C	HGNC:12408
RPS6	ENST00000380394	0	0.789795844	RPS6	HGNC:10429
RAN	ENST00000392369	0	0.789743911	RAN	HGNC:9846
HIST1H2AM	ENST00000359611	0	0.789674608	H2AC17	HGNC:4735
TUBB3	ENST00000315491	0	0.788727891	TUBB3	HGNC:20772
RPS13	ENST00000525634	0	0.788721315	RPS13	HGNC:10386
RPL7A	ENST00000323345	0	0.787225246	RPL7A	HGNC:10364
RPS5	ENST00000596046	0	0.786776354	RPS5	HGNC:10426
CSNK2B	ENST00000375866	0	0.78529609	CSNK2B	HGNC:2460
EEF1A2	ENST00000217182	0	0.784672399	EEF1A2	HGNC:3192
UBE2D3	ENST00000349311	0	0.783538152	UBE2D3	HGNC:12476
RPL23A	ENST00000422514	0	0.782690007	RPL23A	HGNC:10317
HIST1H2AD	ENST00000341023	0	0.782583711	H2AC7	HGNC:4729
TXNL4A	ENST00000269601	0	0.782275707	TXNL4A	HGNC:30551
HIST1H2AH	ENST00000377459	0	0.782081129	H2AC12	HGNC:13671
GNB2L1	ENST00000512805	0	0.781105976	RACK1	HGNC:4399
TUBB4A	ENST00000264071	0	0.779700686	TUBB4A	HGNC:20774
RPS20	ENST00000521262	0	0.779345616	RPS20	HGNC:10405
ERH	ENST00000557016	0	0.778846106	ERH	HGNC:3447
RPL17	ENST00000580261	0	0.778316292	RPL17	HGNC:10307
RPL19	ENST00000225430	0	0.777621424	RPL19	HGNC:10312
RPS12	ENST00000230050	0	0.776853748	RPS12	HGNC:10385
H2AFZ	ENST00000296417	0	0.776835219	H2AZ1	HGNC:4741
TUBA4A	ENST00000248437	0	0.776094254	TUBA4A	HGNC:12407
RPL5	ENST00000370321	0	0.776073176	RPL5	HGNC:10360
RPL36AL	ENST00000298289	0	0.776045424	RPL36AL	HGNC:10346
RPL12	ENST00000361436	0	0.775763876	RPL12	HGNC:10302
RPL38	ENST00000533498	0	0.773399485	RPL38	HGNC:10349
HIST1H2AE	ENST00000303910	0	0.773153186	H2AC8	HGNC:4724
LSM2	ENST00000375661	0	0.772898639	LSM2	HGNC:13940
ARF3	ENST00000541959	0	0.771897143	ARF3	HGNC:654
PPP1CC	ENST00000335007	0	0.771714683	PPP1CC	HGNC:9283
RPS27A	ENST00000404735	0	0.771195017	RPS27A	HGNC:10417
RPL35	ENST00000348462	0	0.770893047	RPL35	HGNC:10344
LSM3	ENST00000306024	0	0.770418262	LSM3	HGNC:17874
RPL30	ENST00000287038	0	0.770103489	RPL30	HGNC:10333
RPL32	ENST00000396953	0	0.770077584	RPL32	HGNC:10336
POLR2H	ENST00000456318	0	0.76878554	POLR2H	HGNC:9195
RPS27L	ENST00000330964	0	0.767838388	RPS27L	HGNC:18476
SAP18	ENST00000607003	0	0.767743623	SAP18	HGNC:10530
HIST2H2BE	ENST00000369155	0	0.766768013	H2BC21	HGNC:4760
OSTC	ENST00000361564	0	0.76623059	OSTC	HGNC:24448
DYNLL1	ENST00000242577	0	0.765283398	DYNLL1	HGNC:15476
GTF2A2	ENST00000396061	0	0.763669101	GTF2A2	HGNC:4647
RQCD1	ENST00000542068	0	0.763598586	CNOT9	HGNC:10445
RPL3	ENST00000216146	0	0.763000146	RPL3	HGNC:10332
RPSA	ENST00000301821	0	0.761774579	RPSA	HGNC:6502
HIST1H2BN	ENST00000396980	0	0.761275733	H2BC15	HGNC:4749
DCAF7	ENST00000431926	0	0.761240363	DCAF7	HGNC:30915
RBX1	ENST00000216225	0	0.761101302	RBX1	HGNC:9928
GNB1	ENST00000378609	0	0.761008346	GNB1	HGNC:4396
PPP1CA	ENST00000376745	0	0.759765984	PPP1CA	HGNC:9281
LSM5	ENST00000450169	0	0.759390973	LSM5	HGNC:17162
PPP2CA	ENST00000481195	0	0.759384048	PPP2CA	HGNC:9299
SUPT4H1	ENST00000580947	0	0.759304272	SUPT4H1	HGNC:11467
HIST1H2BK	ENST00000356950	0	0.758810438	H2BC12	HGNC:13954
RPS28	ENST00000600659	0	0.758478763	RPS28	HGNC:10418
U2AF1	ENST00000291552	0	0.758273412	U2AF1	HGNC:12453
RHOA	ENST00000418115	0	0.75823233	RHOA	HGNC:667
EIF4A1	ENST00000293831	0	0.757578728	EIF4A1	HGNC:3282
VCP	ENST00000358901	0	0.757345338	VCP	HGNC:12666
FCF1	ENST00000341162	0	0.755492378	FCF1	HGNC:20220
HIST1H2BI	ENST00000377733	0	0.75513657	H2BC10	HGNC:4756
PFN2	ENST00000239940	0	0.755095835	PFN2	HGNC:8882
RPL10A	ENST00000322203	0	0.754979099	RPL10A	HGNC:10299
HIST1H2AC	ENST00000602637	0	0.754759541	H2AC6	HGNC:4733
ETF1	ENST00000360541	0	0.754755515	ETF1	HGNC:3477
ARPC2	ENST00000295685	0	0.753580135	ARPC2	HGNC:705
HIST3H2A	ENST00000366695	0	0.753204844	H2AC25	HGNC:20507
HIST1H2AJ	ENST00000333151	0	0.750966155	H2AC14	HGNC:4727
RPL37A	ENST00000491306	0	0.750442193	RPL37A	HGNC:10348
CSNK1A1	ENST00000377843	0	0.750440649	CSNK1A1	HGNC:2451
PRPS1	ENST00000372435	0	0.750274247	PRPS1	HGNC:9462
UFC1	ENST00000368003	0	0.749767798	UFC1	HGNC:26941
RHOC	ENST00000369632	0	0.749684786	RHOC	HGNC:669
PSMC1	ENST00000261303	0	0.749648834	PSMC1	HGNC:9547
TPT1	ENST00000530705	0	0.749460177	TPT1	HGNC:12022
UBE2D1	ENST00000373910	0	0.749315521	UBE2D1	HGNC:12474
RAC3	ENST00000306897	0	0.749243293	RAC3	HGNC:9803
PRPF8	ENST00000572621	0	0.749216558	PRPF8	HGNC:17340
ARPC3	ENST00000228825	0	0.74882156	ARPC3	HGNC:706
SNRPG	ENST00000272348	0	0.74848147	SNRPG	HGNC:11163
GNB2	ENST00000393924	0	0.748034822	GNB2	HGNC:4398
RPL21	ENST00000326092	0	0.747936358	RPL21	HGNC:10313
SNRPF	ENST00000266735	0	0.74778319	SNRPF	HGNC:11162
HSPA8	ENST00000227378	0	0.747412045	HSPA8	HGNC:5241
RBBP4	ENST00000373493	0	0.745611461	RBBP4	HGNC:9887
UBA52	ENST00000599595	0	0.744976994	UBA52	HGNC:12458
UBE2E2	ENST00000396703	0	0.744455828	UBE2E2	HGNC:12478
SMU1	ENST00000397149	0	0.743980489	SMU1	HGNC:18247
SEC61A2	ENST00000298428	0	0.743713721	SEC61A2	HGNC:17702
EEF2	ENST00000309311	0	0.742765855	EEF2	HGNC:3214
ARF5	ENST00000000233	0	0.742269764	ARF5	HGNC:658
PPP6C	ENST00000373547	0	0.742087777	PPP6C	HGNC:9323
HIST1H2BJ	ENST00000339812	0	0.741783482	H2BC11	HGNC:4761
PABPC1	ENST00000318607	0	0.741555975	PABPC1	HGNC:8554
CNIH1	ENST00000216416	0	0.741555826	CNIH1	HGNC:19431
POLR2K	ENST00000353107	0	0.741330908	POLR2K	HGNC:9198
PRPS2	ENST00000380668	0	0.741091936	PRPS2	HGNC:9465
CFL1	ENST00000525451	0	0.740902694	CFL1	HGNC:1874
RRAGA	ENST00000380527	0	0.74073898	RRAGA	HGNC:16963
RAP1B	ENST00000537460	0	0.740667223	RAP1B	HGNC:9857
DSTN	ENST00000246069	0	0.739861652	DSTN	HGNC:15750
PPP2CB	ENST00000221138	0	0.739781887	PPP2CB	HGNC:9300
SKP1	ENST00000522855	0	0.739618245	SKP1	HGNC:10899
RPL13A	ENST00000391857	0	0.73957022	RPL13A	HGNC:10304
AP2M1	ENST00000292807	0	0.73948827	AP2M1	HGNC:564
RPS21	ENST00000343986	0	0.739219841	RPS21	HGNC:10409
RAC2	ENST00000249071	0	0.738408983	RAC2	HGNC:9802
UBE2QL1	ENST00000399816	0	0.73821421	UBE2QL1	HGNC:37269
BANF1	ENST00000527348	0	0.737893053	BANF1	HGNC:17397
PPP4C	ENST00000561610	0	0.736603461	PPP4C	HGNC:9319
RPL18	ENST00000549920	0	0.73650389	RPL18	HGNC:10310
SEC61G	ENST00000450622	0	0.736392587	SEC61G	HGNC:18277
ACTR3	ENST00000263238	0	0.736361517	ACTR3	HGNC:170
PSMC6	ENST00000445930	0	0.735779302	PSMC6	HGNC:9553
SMAD3	ENST00000327367	0	0.735555174	SMAD3	HGNC:6769
SAP30L	ENST00000297109	0	0.735113198	SAP30L	HGNC:25663
SSU72	ENST00000291386	0	0.735021091	SSU72	HGNC:25016
MYL9	ENST00000279022	0	0.734189217	MYL9	HGNC:15754
MOB1B	ENST00000309395	0	0.734148542	MOB1B	HGNC:29801
WDR83OS	ENST00000596731	0	0.732984551	WDR83OS	HGNC:30203
HIST1H2BD	ENST00000289316	0	0.732777266	H2BC5	HGNC:4747
SLC25A4	ENST00000281456	0	0.732659851	SLC25A4	HGNC:10990
ATP6V0B	ENST00000472174	0	0.732187391	ATP6V0B	HGNC:861
CUL1	ENST00000325222	0	0.732157477	CUL1	HGNC:2551
PSMC4	ENST00000157812	0	0.731621555	PSMC4	HGNC:9551
RPS25	ENST00000527673	0	0.731341446	RPS25	HGNC:10413
CTDNEP1	ENST00000318988	0	0.730900995	CTDNEP1	HGNC:19085
RPS9	ENST00000391753	0	0.730703585	RPS9	HGNC:10442
PPP2R2B	ENST00000394411	0	0.730269017	PPP2R2B	HGNC:9305
RPS19	ENST00000593863	0	0.730012723	RPS19	HGNC:10402
MYL12B	ENST00000584539	0	0.729789752	MYL12B	HGNC:29827
ARPC1A	ENST00000262942	0	0.729448395	ARPC1A	HGNC:703
DNM1	ENST00000372923	0	0.729282012	DNM1	HGNC:2972
RPL8	ENST00000528957	0	0.729181555	RPL8	HGNC:10368
RAB1A	ENST00000409784	0	0.728936084	RAB1A	HGNC:9758
UBE2N	ENST00000318066	0	0.728782073	UBE2N	HGNC:12492
TAF13	ENST00000338366	0	0.72844465	TAF13	HGNC:11546
CLTC	ENST00000269122	0	0.728217273	CLTC	HGNC:2092
CAMK2G	ENST00000423381	0	0.727684207	CAMK2G	HGNC:1463
LSM7	ENST00000252622	0	0.727541461	LSM7	HGNC:20470
EIF5A	ENST00000416016	0	0.72688006	EIF5A	HGNC:3300
FAM78B	ENST00000338353	0	0.726051605	FAM78B	HGNC:13495
RNPS1	ENST00000301730	0	0.725405552	RNPS1	HGNC:10080
PSMA6	ENST00000261479	0	0.725374238	PSMA6	HGNC:9535
PPIH	ENST00000304979	0	0.724979219	PPIH	HGNC:14651
AP1M1	ENST00000291439	0	0.724839832	AP1M1	HGNC:13667
CPLX2	ENST00000515094	0	0.724452918	CPLX2	HGNC:2310
SF3B1	ENST00000335508	0	0.723948444	SF3B1	HGNC:10768
LIMS1	ENST00000393310	0	0.723790976	LIMS1	HGNC:6616
CAMK2D	ENST00000342666	0	0.723507568	CAMK2D	HGNC:1462
RAB2A	ENST00000262646	0	0.723446437	RAB2A	HGNC:9763
POLR2B	ENST00000314595	0	0.723363797	POLR2B	HGNC:9188
SLC25A6	ENST00000381401	0	0.723205529	SLC25A6	HGNC:10992
CBX3	ENST00000396386	0	0.722900696	CBX3	HGNC:1553
GNB4	ENST00000468623	0	0.722650982	GNB4	HGNC:20731
UBE2G1	ENST00000396981	0	0.72260572	UBE2G1	HGNC:12482
MAP1LC3A	ENST00000397709	0	0.722548861	MAP1LC3A	HGNC:6838
CDK5	ENST00000485972	0	0.72235228	CDK5	HGNC:1774
AGO2	ENST00000220592	0	0.722312629	AGO2	HGNC:3263
MOB1A	ENST00000396049	0	0.722267622	MOB1A	HGNC:16015
WDR82	ENST00000296490	0	0.721701513	WDR82	HGNC:28826
EIF4A2	ENST00000323963	0	0.721652147	EIF4A2	HGNC:3284
HIST1H2AA	ENST00000297012	0	0.721314404	H2AC1	HGNC:18729
PRKACB	ENST00000370689	0	0.721243044	PRKACB	HGNC:9381
FBXW11	ENST00000265094	0	0.721036248	FBXW11	HGNC:13607
RPL34	ENST00000394668	0	0.720851266	RPL34	HGNC:10340
RHOB	ENST00000272233	0	0.720519869	RHOB	HGNC:668
PSME3	ENST00000590720	0	0.720115027	PSME3	HGNC:9570
RAP1A	ENST00000369709	0	0.719570279	RAP1A	HGNC:9855
HIST2H2BF	ENST00000369167	0	0.719291727	H2BC18	HGNC:24700
AP2S1	ENST00000263270	0	0.719237502	AP2S1	HGNC:565
PDCD6	ENST00000264933	0	0.718677539	PDCD6	HGNC:8765
MOB4	ENST00000323303	0	0.718663001	MOB4	HGNC:17261
HNRNPH1	ENST00000356731	0	0.71853578	HNRNPH1	HGNC:5041
SUMO2	ENST00000420826	0	0.71777746	SUMO2	HGNC:11125
LAMTOR2	ENST00000368305	0	0.717755424	LAMTOR2	HGNC:29796
UBE2V1	ENST00000371674	0	0.717705381	UBE2V1	HGNC:12494
UBE2D4	ENST00000222402	0	0.716708545	UBE2D4	HGNC:21647
SLC25A5	ENST00000317881	0	0.716669665	SLC25A5	HGNC:10991
CPSF4	ENST00000292476	0	0.716632397	CPSF4	HGNC:2327
CCDC101	ENST00000317058	0	0.716059826	SGF29	HGNC:25156
HNRNPA1	ENST00000340913	0	0.715879945	HNRNPA1	HGNC:5031
AP3S1	ENST00000316788	0	0.715842051	AP3S1	HGNC:2013
ABHD17B	ENST00000333421	0	0.715786823	ABHD17B	HGNC:24278
KDELR2	ENST00000258739	0	0.715697443	KDELR2	HGNC:6305
EBF3	ENST00000355311	0	0.715445123	EBF3	HGNC:19087
SNRPB2	ENST00000246071	0	0.715407147	SNRPB2	HGNC:11155
RPS16	ENST00000251453	0	0.71473511	RPS16	HGNC:10396
MYL12A	ENST00000536605	0	0.714390643	MYL12A	HGNC:16701
PRPF38A	ENST00000257181	0	0.714092887	PRPF38A	HGNC:25930
CSNK1E	ENST00000400206	0	0.7139599	CSNK1E	HGNC:2453
DYNLL2	ENST00000579991	0	0.713863469	DYNLL2	HGNC:24596
YPEL1	ENST00000339468	0	0.713850017	YPEL1	HGNC:12845
YWHAE	ENST00000264335	0	0.71369118	YWHAE	HGNC:12851
NCS1	ENST00000372398	0	0.713647696	NCS1	HGNC:3953
AGO1	ENST00000373204	0	0.713132956	AGO1	HGNC:3262
EIF3E	ENST00000220849	0	0.712606309	EIF3E	HGNC:3277
UBE2A	ENST00000371558	0	0.71239632	UBE2A	HGNC:12472
BTF3L4	ENST00000313334	0	0.712363484	BTF3L4	HGNC:30547
YWHAZ	ENST00000419477	0	0.712275913	YWHAZ	HGNC:12855
CAPZB	ENST00000375142	0	0.712269766	CAPZB	HGNC:1491
MAPK1	ENST00000398822	0	0.712163361	MAPK1	HGNC:6871
PPP3R1	ENST00000234310	0	0.711884868	PPP3R1	HGNC:9317
NCALD	ENST00000519508	0	0.711707721	NCALD	HGNC:7655
ATP6V0D1	ENST00000290949	0	0.711350365	ATP6V0D1	HGNC:13724
TUBA8	ENST00000330423	0	0.711005389	TUBA8	HGNC:12410
ATP6V0C	ENST00000330398	0	0.710825768	ATP6V0C	HGNC:855
PRKCB	ENST00000321728	0	0.710465806	PRKCB	HGNC:9395
RBPJ	ENST00000361572	0	0.710158352	RBPJ	HGNC:5724
HRAS	ENST00000451590	0	0.709797917	HRAS	HGNC:5173
COPS5	ENST00000357849	0	0.709676172	COPS5	HGNC:2240
TMEM50A	ENST00000374358	0	0.709472641	TMEM50A	HGNC:30590
RPL22	ENST00000234875	0	0.709397691	RPL22	HGNC:10315
EIF1	ENST00000469257	0	0.70889202	EIF1	HGNC:3249
GNB3	ENST00000229264	0	0.708747513	GNB3	HGNC:4400
TUBB6	ENST00000317702	0	0.708094628	TUBB6	HGNC:20776
PPP2R1A	ENST00000322088	0	0.707989222	PPP2R1A	HGNC:9302
RUVBL1	ENST00000322623	0	0.707834346	RUVBL1	HGNC:10474
UBE2L3	ENST00000342192	0	0.707409369	UBE2L3	HGNC:12488
YWHAG	ENST00000307630	0	0.707400748	YWHAG	HGNC:12852
SEC61A1	ENST00000243253	0	0.707268946	SEC61A1	HGNC:18276
CBFB	ENST00000290858	0	0.707204652	CBFB	HGNC:1539
PSMD14	ENST00000409682	0	0.707112928	PSMD14	HGNC:16889
KCTD1	ENST00000408011	0	0.706875785	KCTD1	HGNC:18249
RAB7A	ENST00000265062	0	0.706875408	RAB7A	HGNC:9788
PHB	ENST00000300408	0	0.706676553	PHB1	HGNC:8912
UBE2E3	ENST00000602710	0	0.706004202	UBE2E3	HGNC:12479
NHP2L1	ENST00000215956	0	0.705946527	SNU13	HGNC:7819
SERP1	ENST00000479209	0	0.705580473	SERP1	HGNC:10759
TCEB2	ENST00000409906	0	0.705554587	ELOB	HGNC:11619
DHX15	ENST00000336812	0	0.705434682	DHX15	HGNC:2738
HDAC1	ENST00000373548	0	0.70534056	HDAC1	HGNC:4852
OGT	ENST00000373719	0	0.705333468	OGT	HGNC:8127
CASK	ENST00000378163	0	0.70478081	CASK	HGNC:1497
SUDS3	ENST00000543473	0	0.704383442	SUDS3	HGNC:29545
DRG1	ENST00000331457	0	0.704002663	DRG1	HGNC:3029
FAM49B	ENST00000519540	0	0.70364616	CYRIB	HGNC:25216
ARF6	ENST00000298316	0	0.703429229	ARF6	HGNC:659
SPIN1	ENST00000375859	0	0.703372427	SPIN1	HGNC:11243
HNRNPA3	ENST00000435711	0	0.70320678	HNRNPA3	HGNC:24941
EIF1AY	ENST00000361365	0	0.703164695	EIF1AY	HGNC:3252
FAM50A	ENST00000393600	0	0.70303947	FAM50A	HGNC:18786
DCTN5	ENST00000300087	0	0.703005076	DCTN5	HGNC:24594
ATP6V1F	ENST00000249289	0	0.702722628	ATP6V1F	HGNC:16832
UBE2B	ENST00000265339	0	0.702713989	UBE2B	HGNC:12473
RAB1B	ENST00000311481	0	0.702687705	RAB1B	HGNC:18370
RAB6A	ENST00000336083	0	0.702577788	RAB6A	HGNC:9786
TOMM20	ENST00000366607	0	0.702447621	TOMM20	HGNC:20947
RAP2B	ENST00000323534	0	0.702429883	RAP2B	HGNC:9862
EIF1AX	ENST00000379607	0	0.702265061	EIF1AX	HGNC:3250
SIAH1	ENST00000394725	0	0.702012498	SIAH1	HGNC:10857
CNOT7	ENST00000361272	0	0.701726627	CNOT7	HGNC:14101
RRAS2	ENST00000256196	0	0.701443334	RRAS2	HGNC:17271
PDE6D	ENST00000287600	0	0.700879376	PDE6D	HGNC:8788
EIF5A2	ENST00000295822	0	0.700684249	EIF5A2	HGNC:3301
HDAC2	ENST00000519065	0	0.700665639	HDAC2	HGNC:4853
ACTR2	ENST00000260641	0	0.700341372	ACTR2	HGNC:169
KDELR1	ENST00000330720	0	0.700152784	KDELR1	HGNC:6304
PSMC2	ENST00000292644	0	0.699839994	PSMC2	HGNC:9548
RAB35	ENST00000229340	0	0.699766487	RAB35	HGNC:9774
SEC11C	ENST00000587834	0	0.699681753	SEC11C	HGNC:23400
RAB14	ENST00000373840	0	0.69967995	RAB14	HGNC:16524
RUVBL2	ENST00000595090	0	0.699480173	RUVBL2	HGNC:10475
SF3A3	ENST00000373019	0	0.699335151	SF3A3	HGNC:10767
PTPN11	ENST00000351677	0	0.698830336	PTPN11	HGNC:9644
CUL3	ENST00000264414	0	0.698749953	CUL3	HGNC:2553
KAT8	ENST00000219797	0	0.698492581	KAT8	HGNC:17933
YPEL2	ENST00000585166	0	0.698201086	YPEL2	HGNC:18326
EIF3I	ENST00000373586	0	0.698134942	EIF3I	HGNC:3272
RNF11	ENST00000242719	0	0.698012306	RNF11	HGNC:10056
ANAPC11	ENST00000575195	0	0.697953558	ANAPC11	HGNC:14452
GAPDH	ENST00000396859	0	0.697895258	GAPDH	HGNC:4141
NCBP2	ENST00000321256	0	0.697867211	NCBP2	HGNC:7659
AGO3	ENST00000373191	0	0.697414962	AGO3	HGNC:18421
CBX1	ENST00000225603	0	0.697118882	CBX1	HGNC:1551
KCTD9	ENST00000221200	0	0.696985721	KCTD9	HGNC:22401
SRSF1	ENST00000258962	0	0.69686243	SRSF1	HGNC:10780
MYL6	ENST00000548293	0	0.69670044	MYL6	HGNC:7587
MAU2	ENST00000262815	0	0.696391177	MAU2	HGNC:29140
TMEM167A	ENST00000502346	0	0.696360915	TMEM167A	HGNC:28330
C16orf80	ENST00000262498	0	0.696195871	CFAP20	HGNC:29523
SNRPA	ENST00000243563	0	0.696043799	SNRPA	HGNC:11151
GABARAPL1	ENST00000545887	0	0.695979188	GABARAPL1	HGNC:4068
PRMT1	ENST00000454376	0	0.695815807	PRMT1	HGNC:5187
PELI1	ENST00000358912	0	0.695727315	PELI1	HGNC:8827
RPL24	ENST00000394077	0	0.695655919	RPL24	HGNC:10325
CKS2	ENST00000314355	0	0.695484258	CKS2	HGNC:2000
CTNNA2	ENST00000402739	0	0.694925797	CTNNA2	HGNC:2510
UBE2E1	ENST00000306627	0	0.694505273	UBE2E1	HGNC:12477
HDAC3	ENST00000305264	0	0.694495465	HDAC3	HGNC:4854
GABARAP	ENST00000302386	0	0.6944378	GABARAP	HGNC:4067
ARIH1	ENST00000379887	0	0.694133838	ARIH1	HGNC:689
BRK1	ENST00000530758	0	0.694011526	BRK1	HGNC:23057
ACTL6B	ENST00000160382	0	0.693957612	ACTL6B	HGNC:160
PERP	ENST00000421351	0	0.693746587	PERP	HGNC:17637
DDX39B	ENST00000396172	0	0.69371051	DDX39B	HGNC:13917
UBE2V2	ENST00000523111	0	0.693696449	UBE2V2	HGNC:12495
CDK2	ENST00000266970	0	0.693576135	CDK2	HGNC:1771
PTBP1	ENST00000349038	0	0.693421205	PTBP1	HGNC:9583
TUBG1	ENST00000251413	0	0.693409494	TUBG1	HGNC:12417
PRKCA	ENST00000413366	0	0.693295802	PRKCA	HGNC:9393
FYN	ENST00000368667	0	0.693174478	FYN	HGNC:4037
EBF1	ENST00000313708	0	0.693132454	EBF1	HGNC:3126
YPEL5	ENST00000402708	0	0.693098062	YPEL5	HGNC:18329
SERP2	ENST00000379179	0	0.692992705	SERP2	HGNC:20607
RPLP0	ENST00000228306	0	0.692828889	RPLP0	HGNC:10371
HIST1H2BL	ENST00000377401	0	0.692775765	H2BC13	HGNC:4748
EIF4E2	ENST00000258416	0	0.692773388	EIF4E2	HGNC:3293
TBL1XR1	ENST00000457928	0	0.692724278	TBL1XR1	HGNC:29529
SSR3	ENST00000265044	0	0.69270475	SSR3	HGNC:11325
SNAP25	ENST00000254976	0	0.692636253	SNAP25	HGNC:11132
RNF7	ENST00000273480	0	0.692135411	RNF7	HGNC:10070
NRAS	ENST00000369535	0	0.692133768	NRAS	HGNC:7989
RNF41	ENST00000552656	0	0.692080736	RNF41	HGNC:18401
PPP2R2A	ENST00000380737	0	0.691750157	PPP2R2A	HGNC:9304
GRIA2	ENST00000264426	0	0.691644227	GRIA2	HGNC:4572
TM9SF3	ENST00000371142	0	0.691483673	TM9SF3	HGNC:21529
ABCE1	ENST00000296577	0	0.691445954	ABCE1	HGNC:69
RPL9	ENST00000449470	0	0.691250079	RPL9	HGNC:10369
POLR2I	ENST00000221859	0	0.691065015	POLR2I	HGNC:9196
PPP3CB	ENST00000360663	0	0.690961352	PPP3CB	HGNC:9315
GNAI2	ENST00000313601	0	0.690701065	GNAI2	HGNC:4385
VPS28	ENST00000292510	0	0.690672218	VPS28	HGNC:18178
NAA50	ENST00000240922	0	0.690644826	NAA50	HGNC:29533
RPL27A	ENST00000314138	0	0.690628124	RPL27A	HGNC:10329
RAB6B	ENST00000543906	0	0.690515087	RAB6B	HGNC:14902
MAP1LC3B	ENST00000268607	0	0.690486264	MAP1LC3B	HGNC:13352
RBM22	ENST00000199814	0	0.690433767	RBM22	HGNC:25503
SRP14	ENST00000267884	0	0.69037247	SRP14	HGNC:11299
ST7	ENST00000265437	0	0.690142959	ST7	HGNC:11351
SNRPB	ENST00000438552	0	0.689829171	SNRPB	HGNC:11153
CHP1	ENST00000334660	0	0.689813988	CHP1	HGNC:17433
CCDC6	ENST00000263102	0	0.689533544	CCDC6	HGNC:18782
SRP54	ENST00000216774	0	0.689490683	SRP54	HGNC:11301
