HGNC ID	Status	Approved symbol	Approved name	Previous symbol
HGNC:54	Approved	ABCC3	ATP binding cassette subfamily C member 3	
HGNC:55	Approved	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	
HGNC:56	Approved	ABCC5	ATP binding cassette subfamily C member 5	
HGNC:40055	Approved	ABCC5-AS1	ABCC5 antisense RNA 1	
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	ARA
HGNC:57	Approved	ABCC6	ATP binding cassette subfamily C member 6	PXE
HGNC:33352	Approved	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	
HGNC:33353	Approved	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	SUR
HGNC:59	Approved	ABCC8	ATP binding cassette subfamily C member 8	HRINS
HGNC:60	Approved	ABCC9	ATP binding cassette subfamily C member 9	
HGNC:52	Approved	ABCC10	ATP binding cassette subfamily C member 10	
HGNC:14639	Approved	ABCC11	ATP binding cassette subfamily C member 11	
HGNC:14640	Approved	ABCC12	ATP binding cassette subfamily C member 12	
HGNC:16022	Approved	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	
HGNC:61	Approved	ABCD1	ATP binding cassette subfamily D member 1	ALD
HGNC:62	Approved	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	
HGNC:63	Approved	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	
HGNC:64	Approved	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	
HGNC:65	Approved	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	
HGNC:42662	Approved	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	
HGNC:66	Approved	ABCD2	ATP binding cassette subfamily D member 2	ALDL1
HGNC:67	Approved	ABCD3	ATP binding cassette subfamily D member 3	PXMP1
HGNC:68	Approved	ABCD4	ATP binding cassette subfamily D member 4	PXMP1L
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	RNASEL1
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	RNASELI
HGNC:69	Approved	ABCE1	ATP binding cassette subfamily E member 1	RNS4I
HGNC:70	Approved	ABCF1	ATP binding cassette subfamily F member 1	ABC50
HGNC:53628	Approved	ABCF1-DT	ABCF1 divergent transcript	
HGNC:71	Approved	ABCF2	ATP binding cassette subfamily F member 2	
HGNC:54751	Approved	ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ABCF2-H2BE1
HGNC:48841	Approved	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	
HGNC:48842	Approved	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	
HGNC:72	Approved	ABCF3	ATP binding cassette subfamily F member 3	
HGNC:73	Approved	ABCG1	ATP binding cassette subfamily G member 1	
HGNC:74	Approved	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	
HGNC:13884	Approved	ABCG4	ATP binding cassette subfamily G member 4	
HGNC:13886	Approved	ABCG5	ATP binding cassette subfamily G member 5	
HGNC:13887	Approved	ABCG8	ATP binding cassette subfamily G member 8	
HGNC:17553	Approved	ABHD1	abhydrolase domain containing 1	
HGNC:18717	Approved	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	
HGNC:18718	Approved	ABHD3	abhydrolase domain containing 3, phospholipase	
HGNC:20154	Approved	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	
HGNC:21396	Approved	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	
HGNC:21398	Approved	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	
HGNC:23759	Approved	ABHD8	abhydrolase domain containing 8	
HGNC:25656	Approved	ABHD10	abhydrolase domain containing 10, depalmitoylase	
HGNC:16407	Approved	ABHD11	abhydrolase domain containing 11	WBSCR21
HGNC:40012	Entry Withdrawn	ABHD11-AS2	ABHD11 antisense RNA 2	
HGNC:15868	Approved	ABHD12	abhydrolase domain containing 12, lysophospholipase	C20orf22
HGNC:19837	Approved	ABHD12B	abhydrolase domain containing 12B	C14orf29
HGNC:20293	Approved	ABHD13	abhydrolase domain containing 13	C13orf6
HGNC:24538	Approved	ABHD14A	abhydrolase domain containing 14A	
HGNC:38856	Approved	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	
HGNC:28235	Approved	ABHD14B	abhydrolase domain containing 14B	
HGNC:26971	Approved	ABHD15	abhydrolase domain containing 15	
HGNC:49685	Approved	ABHD15-AS1	ABHD15 antisense RNA 1	
HGNC:13921	Approved	ABHD16A	abhydrolase domain containing 16A, phospholipase	BAT5
HGNC:16128	Approved	ABHD16B	abhydrolase domain containing 16B	C20orf135
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	C19orf27
HGNC:28756	Approved	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	FAM108A1
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A2
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	ABHD17AP2
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A3
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A11P
HGNC:28394	Approved	ABHD17AP1	ABHD17A pseudogene 1	FAM108A3P
HGNC:34041	Approved	ABHD17AP3	ABHD17A pseudogene 3	FAM108A4
HGNC:34041	Approved	ABHD17AP3	ABHD17A pseudogene 3	FAM108A4P
HGNC:34042	Approved	ABHD17AP4	ABHD17A pseudogene 4	FAM108A5
HGNC:34042	Approved	ABHD17AP4	ABHD17A pseudogene 4	FAM108A5P
HGNC:34043	Approved	ABHD17AP5	ABHD17A pseudogene 5	FAM108A6
HGNC:34043	Approved	ABHD17AP5	ABHD17A pseudogene 5	FAM108A6P
HGNC:34044	Approved	ABHD17AP6	ABHD17A pseudogene 6	FAM108A7P
HGNC:38508	Approved	ABHD17AP7	ABHD17A pseudogene 7	FAM108A8P
HGNC:38509	Approved	ABHD17AP8	ABHD17A pseudogene 8	FAM108A9P
HGNC:38510	Approved	ABHD17AP9	ABHD17A pseudogene 9	FAM108A10P
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	C9orf77
HGNC:24278	Approved	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	FAM108B1
HGNC:26925	Approved	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	FAM108C1
HGNC:26111	Approved	ABHD18	abhydrolase domain containing 18	C4orf29
HGNC:11320	Approved	ABI1	abl interactor 1	SSH3BP1
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	SSH3BP1P
HGNC:20035	Approved	ABI1P1	abl interactor 1 pseudogene 1	ABI1P
HGNC:24011	Approved	ABI2	abl interactor 2	
HGNC:29859	Approved	ABI3	ABI family member 3	
HGNC:17265	Approved	ABI3BP	ABI family member 3 binding protein	
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	C9orf6
HGNC:1364	Approved	ABITRAM	actin binding transcription modulator	FAM206A
HGNC:39851	Approved	ABITRAMP1	ABITRAM pseudogene 1	FAM206BP
HGNC:76	Approved	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL
HGNC:77	Approved	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABLL
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	LIMAB1
HGNC:78	Approved	ABLIM1	actin binding LIM protein 1	ABLIM
HGNC:19195	Approved	ABLIM2	actin binding LIM protein family member 2	
HGNC:29132	Approved	ABLIM3	actin binding LIM protein family member 3	
HGNC:79	Approved	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	
HGNC:81	Approved	ABR	ABR activator of RhoGEF and GTPase	
HGNC:55674	Approved	ABR-AS1	ABR antisense RNA 1	
HGNC:30655	Approved	ABRA	actin binding Rho activating protein	
HGNC:21230	Approved	ABRACL	ABRA C-terminal like	C6orf115
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	CCDC98
HGNC:25829	Approved	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	FAM175A
HGNC:56461	Approved	ABRAXAS1P1	ABRAXAS1 pseudogene 1	
HGNC:56462	Approved	ABRAXAS1P2	ABRAXAS1 pseudogene 2	
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	KIAA0157
HGNC:28975	Approved	ABRAXAS2	abraxas 2, BRISC complex subunit	FAM175B
HGNC:17369	Approved	ABT1	activator of basal transcription 1	
HGNC:39557	Approved	ABT1P1	activator of basal transcription 1 pseudogene 1	
HGNC:18275	Approved	ABTB1	ankyrin repeat and BTB domain containing 1	
HGNC:23842	Approved	ABTB2	ankyrin repeat and BTB domain containing 2	
HGNC:23844	Approved	ABTB3	ankyrin repeat and BTB domain containing 3	BTBD11
HGNC:82	Approved	ACAA1	acetyl-CoA acyltransferase 1	
HGNC:83	Approved	ACAA2	acetyl-CoA acyltransferase 2	
HGNC:55880	Approved	ACAA2P1	ACAA2 pseudogene 1	
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	ACAC
HGNC:84	Approved	ACACA	acetyl-CoA carboxylase alpha	ACC
HGNC:85	Approved	ACACB	acetyl-CoA carboxylase beta	
HGNC:86	Entry Withdrawn	ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)	
HGNC:87	Approved	ACAD8	acyl-CoA dehydrogenase family member 8	
HGNC:21497	Approved	ACAD9	acyl-CoA dehydrogenase family member 9	
HGNC:56086	Approved	ACAD9-DT	ACAD9 divergent transcript	
HGNC:21597	Approved	ACAD10	acyl-CoA dehydrogenase family member 10	
HGNC:30211	Approved	ACAD11	acyl-CoA dehydrogenase family member 11	
HGNC:88	Approved	ACADL	acyl-CoA dehydrogenase long chain	
HGNC:89	Approved	ACADM	acyl-CoA dehydrogenase medium chain	
HGNC:90	Approved	ACADS	acyl-CoA dehydrogenase short chain	
HGNC:91	Approved	ACADSB	acyl-CoA dehydrogenase short/branched chain	
HGNC:92	Approved	ACADVL	acyl-CoA dehydrogenase very long chain	
HGNC:319	Approved	ACAN	aggrecan	MSK16
HGNC:319	Approved	ACAN	aggrecan	CSPG1
HGNC:319	Approved	ACAN	aggrecan	AGC1
HGNC:16467	Approved	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1
HGNC:16469	Approved	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2
HGNC:41426	Approved	ACAP2-IT1	ACAP2 intronic transcript 1	
HGNC:16754	Approved	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5
HGNC:93	Approved	ACAT1	acetyl-CoA acetyltransferase 1	ACAT
HGNC:94	Approved	ACAT2	acetyl-CoA acetyltransferase 2	
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	GOLPH1
HGNC:15453	Approved	ACBD3	acyl-CoA binding domain containing 3	GOCAP1
HGNC:40701	Approved	ACBD3-AS1	ACBD3 antisense RNA 1	
HGNC:23337	Approved	ACBD4	acyl-CoA binding domain containing 4	
HGNC:23338	Approved	ACBD5	acyl-CoA binding domain containing 5	
HGNC:23339	Approved	ACBD6	acyl-CoA binding domain containing 6	
HGNC:17715	Approved	ACBD7	acyl-CoA binding domain containing 7	
HGNC:23989	Approved	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	
HGNC:34391	Approved	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	
HGNC:56899	Approved	ACCSLP1	ACCSL pseudogene 1	
HGNC:25070	Approved	ACD	ACD shelterin complex subunit and telomerase recruitment factor	
HGNC:2707	Approved	ACE	angiotensin I converting enzyme	DCP1
HGNC:13557	Approved	ACE2	angiotensin converting enzyme 2	
HGNC:56255	Approved	ACE2-DT	ACE2 divergent transcript	
HGNC:44365	Approved	ACE3P	angiotensin I converting enzyme 3, pseudogene	
HGNC:18356	Approved	ACER1	alkaline ceramidase 1	ASAH3
HGNC:23675	Approved	ACER2	alkaline ceramidase 2	ASAH3L
HGNC:54674	Approved	ACER2P1	ACER2 pseudogene 1	
HGNC:16066	Approved	ACER3	alkaline ceramidase 3	PHCA
HGNC:108	Approved	ACHE	acetylcholinesterase (Yt blood group)	YT
HGNC:17066	Approved	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	FY
HGNC:4035	Approved	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	DARC
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	CMKBR9
HGNC:1565	Approved	ACKR2	atypical chemokine receptor 2	CCBP2
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	CMKOR1
HGNC:23692	Approved	ACKR3	atypical chemokine receptor 3	CXCR7
HGNC:1611	Approved	ACKR4	atypical chemokine receptor 4	CCRL1
HGNC:21142	Approved	ACKR4P1	ACKR4 pseudogene 1	CCRL1P
HGNC:21142	Approved	ACKR4P1	ACKR4 pseudogene 1	CCRL1P1
HGNC:114	Entry Withdrawn	ACLS	acrocallosal syndrome	
HGNC:115	Approved	ACLY	ATP citrate lyase	
HGNC:116	Entry Withdrawn	ACMG	acromegaly	
HGNC:19288	Approved	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	
HGNC:34504	Approved	ACNATP	acyl-CoA:amino acid N-acyltransferase, pseudogene	BAATP1
HGNC:117	Approved	ACO1	aconitase 1	IREB1
HGNC:118	Approved	ACO2	aconitase 2	
HGNC:56989	Approved	ACO2P1	ACO2 pseudogene 1	
HGNC:56990	Approved	ACO2P2	ACO2 pseudogene 2	
HGNC:33904	Approved	ACOD1	aconitate decarboxylase 1	IRG1
HGNC:33128	Approved	ACOT1	acyl-CoA thioesterase 1	
HGNC:18431	Approved	ACOT2	acyl-CoA thioesterase 2	
HGNC:19748	Approved	ACOT4	acyl-CoA thioesterase 4	
HGNC:33159	Approved	ACOT6	acyl-CoA thioesterase 6	C14orf42
HGNC:24157	Approved	ACOT7	acyl-CoA thioesterase 7	
HGNC:15919	Approved	ACOT8	acyl-CoA thioesterase 8	PTE1
HGNC:17152	Approved	ACOT9	acyl-CoA thioesterase 9	
HGNC:18156	Approved	ACOT11	acyl-CoA thioesterase 11	THEA
HGNC:24436	Approved	ACOT12	acyl-CoA thioesterase 12	
HGNC:20999	Approved	ACOT13	acyl-CoA thioesterase 13	THEM2
HGNC:119	Approved	ACOX1	acyl-CoA oxidase 1	
HGNC:120	Approved	ACOX2	acyl-CoA oxidase 2	
HGNC:121	Approved	ACOX3	acyl-CoA oxidase 3, pristanoyl	
HGNC:25621	Approved	ACOXL	acyl-CoA oxidase like	
HGNC:41112	Approved	ACOXL-AS1	ACOXL antisense RNA 1	
HGNC:122	Approved	ACP1	acid phosphatase 1	
HGNC:123	Approved	ACP2	acid phosphatase 2, lysosomal	
HGNC:125	Approved	ACP3	acid phosphatase 3	ACPP
HGNC:14376	Approved	ACP4	acid phosphatase 4	ACPT
HGNC:124	Approved	ACP5	acid phosphatase 5, tartrate resistant	
HGNC:29609	Approved	ACP6	acid phosphatase 6, lysophosphatidic	
HGNC:33781	Approved	ACP7	acid phosphatase 7, tartrate resistant (putative)	
HGNC:126	Approved	ACR	acrosin	
HGNC:17195	Approved	ACRBP	acrosin binding protein	
HGNC:54745	Approved	ACRP1	ACR pseudogene 1	
HGNC:127	Approved	ACRV1	acrosomal vesicle protein 1	
HGNC:29567	Approved	ACSBG1	acyl-CoA synthetase bubblegum family member 1	
HGNC:24174	Approved	ACSBG2	acyl-CoA synthetase bubblegum family member 2	
HGNC:26101	Approved	ACSF2	acyl-CoA synthetase family member 2	
HGNC:27288	Approved	ACSF3	acyl-CoA synthetase family member 3	
HGNC:3569	Approved	ACSL1	acyl-CoA synthetase long chain family member 1	FACL2
HGNC:3570	Approved	ACSL3	acyl-CoA synthetase long chain family member 3	FACL3
HGNC:40227	Approved	ACSL3-AS1	ACSL3 antisense RNA 1	
HGNC:56529	Approved	ACSL3P1	ACSL3 pseudogene 1	
HGNC:3571	Approved	ACSL4	acyl-CoA synthetase long chain family member 4	FACL4
HGNC:3571	Approved	ACSL4	acyl-CoA synthetase long chain family member 4	MRX63
HGNC:3571	Approved	ACSL4	acyl-CoA synthetase long chain family member 4	MRX68
HGNC:16526	Approved	ACSL5	acyl-CoA synthetase long chain family member 5	FACL5
HGNC:16496	Approved	ACSL6	acyl-CoA synthetase long chain family member 6	FACL6
HGNC:40772	Approved	ACSL6-AS1	ACSL6 antisense RNA 1	
HGNC:18049	Approved	ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1
HGNC:32017	Approved	ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2
HGNC:30931	Approved	ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2
HGNC:10522	Approved	ACSM3	acyl-CoA synthetase medium chain family member 3	SAH
HGNC:32016	Approved	ACSM4	acyl-CoA synthetase medium chain family member 4	
HGNC:26060	Approved	ACSM5	acyl-CoA synthetase medium chain family member 5	
HGNC:51295	Approved	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	
HGNC:31665	Approved	ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129
HGNC:16091	Approved	ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L
HGNC:15814	Approved	ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2
HGNC:24723	Approved	ACSS3	acyl-CoA synthetase short chain family member 3	
HGNC:129	Approved	ACTA1	actin alpha 1, skeletal muscle	ACTA
HGNC:130	Approved	ACTA2	actin alpha 2, smooth muscle	
HGNC:45169	Approved	ACTA2-AS1	ACTA2 antisense RNA 1	
HGNC:132	Approved	ACTB	actin beta	
HGNC:17780	Approved	ACTBL2	actin beta like 2	
HGNC:134	Approved	ACTBP1	ACTB pseudogene 1	
HGNC:135	Approved	ACTBP2	ACTB pseudogene 2	
HGNC:136	Approved	ACTBP3	ACTB pseudogene 3	
HGNC:137	Approved	ACTBP4	ACTB pseudogene 4	
HGNC:138	Entry Withdrawn	ACTBP5	actin, beta pseudogene 5	
HGNC:139	Approved	ACTBP6	ACTB pseudogene 6	
HGNC:140	Approved	ACTBP7	ACTB pseudogene 7	
HGNC:141	Approved	ACTBP8	ACTB pseudogene 8	
HGNC:142	Approved	ACTBP9	ACTB pseudogene 9	
HGNC:31819	Approved	ACTBP10	ACTB pseudogene 10	
HGNC:33971	Approved	ACTBP11	ACTB pseudogene 11	
HGNC:150	Approved	ACTBP12	ACTB pseudogene 12	ACTGP5
HGNC:45086	Approved	ACTBP14	ACTB pseudogene 14	
HGNC:55065	Approved	ACTBP15	ACTB pseudogene 15	
HGNC:56590	Approved	ACTBP16	ACTB pseudogene 16	
HGNC:143	Approved	ACTC1	actin alpha cardiac muscle 1	ACTC
HGNC:51491	Approved	ACTE1P	actin epsilon 1, pseudogene	
HGNC:144	Approved	ACTG1	actin gamma 1	ACTG
HGNC:144	Approved	ACTG1	actin gamma 1	DFNA20
HGNC:144	Approved	ACTG1	actin gamma 1	DFNA26
HGNC:146	Approved	ACTG1P1	actin gamma 1 pseudogene 1	ACTGP1
HGNC:146	Approved	ACTG1P1	actin gamma 1 pseudogene 1	ACT1GP1
HGNC:147	Approved	ACTG1P2	actin gamma 1 pseudogene 2	ACTL2
HGNC:147	Approved	ACTG1P2	actin gamma 1 pseudogene 2	ACTGP2
HGNC:148	Approved	ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3
HGNC:149	Approved	ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4
HGNC:151	Approved	ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6
HGNC:152	Approved	ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7
HGNC:153	Approved	ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8
HGNC:154	Approved	ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9
HGNC:155	Approved	ACTG1P10	actin gamma 1 pseudogene 10	ACTL1
HGNC:155	Approved	ACTG1P10	actin gamma 1 pseudogene 10	ACTGP10
HGNC:37651	Approved	ACTG1P11	actin gamma 1 pseudogene 11	
HGNC:44496	Approved	ACTG1P12	actin gamma 1 pseudogene 12	
HGNC:49058	Approved	ACTG1P13	actin gamma 1 pseudogene 13	
HGNC:49751	Approved	ACTG1P14	actin gamma 1 pseudogene 14	
HGNC:51495	Approved	ACTG1P15	actin gamma 1 pseudogene 15	
HGNC:51496	Approved	ACTG1P16	actin gamma 1 pseudogene 16	
HGNC:51497	Approved	ACTG1P17	actin gamma 1 pseudogene 17	
