gene	pHaplo	Approved_Symbol	HGNC_ID
GRIN2A	0.996764816889449	GRIN2A	HGNC:4585
TERF2	0.868840689205339	TERF2	HGNC:11729
KHSRP	0.938758685160833	KHSRP	HGNC:6316
CTCF	0.987994832123439	CTCF	HGNC:13723
USP5	0.960926828448405	USP5	HGNC:12628
ATP2A2	0.9941466756253	ATP2A2	HGNC:812
IRX2	0.982735601522522	IRX2	HGNC:14359
SMARCD1	0.798646204061486	SMARCD1	HGNC:11106
PBRM1	0.983334426575835	PBRM1	HGNC:30064
KAT7	0.978862242670332	KAT7	HGNC:17016
TGFB1	0.72913304824818	TGFB1	HGNC:11766
PAPD7	0.995010331326568	TENT4A	HGNC:16705
PA2G4	0.786849762450576	PA2G4	HGNC:8550
ARHGEF12	0.998994058984856	ARHGEF12	HGNC:14193
ARID1B	0.999750972053783	ARID1B	HGNC:18040
SF3B3	0.996794281062422	SF3B3	HGNC:10770
MYH10	0.994157052916212	MYH10	HGNC:7568
SETDB1	0.840952448942437	SETDB1	HGNC:10761
PIP4K2B	0.912211891493861	PIP4K2B	HGNC:8998
TUBA1A	0.672702943184443	TUBA1A	HGNC:20766
CLK2	0.566346334205035	CLK2	HGNC:2069
EP400	0.993130923920589	EP400	HGNC:11958
CUL4A	0.994805276757775	CUL4A	HGNC:2554
PTPRA	0.984653517873852	PTPRA	HGNC:9664
KCNMA1	0.991498844735412	KCNMA1	HGNC:6284
KALRN	0.988308355472445	KALRN	HGNC:4814
PPP5C	0.862783860660033	PPP5C	HGNC:9322
KCNJ5	0.937330149751174	KCNJ5	HGNC:6266
CSNK1A1	0.981149826316529	CSNK1A1	HGNC:2451
CYTH3	0.926911591683104	CYTH3	HGNC:9504
UBE2L3	0.704827051755259	UBE2L3	HGNC:12488
CS	0.828617115701576	CS	HGNC:2422
CTNNB1	0.995133349920831	CTNNB1	HGNC:2514
ANKHD1	0.984191490125119	ANKHD1	HGNC:24714
EBF1	0.997866229077875	EBF1	HGNC:3126
NRAS	0.536058327824658	NRAS	HGNC:7989
OPCML	0.982403172352195	OPCML	HGNC:8143
MICAL3	0.866912892607738	MICAL3	HGNC:24694
PRPF19	0.727252774752465	PRPF19	HGNC:17896
SPSB1	0.930688106549888	SPSB1	HGNC:30628
HTRA2	0.168861362527496	HTRA2	HGNC:14348
PSMC2	0.907580861513864	PSMC2	HGNC:9548
RAB11A	0.941685959384176	RAB11A	HGNC:9760
EBF3	0.999647366192163	EBF3	HGNC:19087
PSMC5	0.875952277499973	PSMC5	HGNC:9552
LOR	0.420344612772621	LOXL2	HGNC:6666
TLX2	0.541112985803233	TLX2	HGNC:5057
PRPF3	0.730647138519763	PRPF3	HGNC:17348
TLK2	0.986295135056099	TLK2	HGNC:11842
KDM1A	0.98200151896046	KDM1A	HGNC:29079
TBX15	0.803756226125503	TBX15	HGNC:11594
HDAC3	0.616188887117352	HDAC3	HGNC:4854
EN2	0.996383889441647	EN2	HGNC:3343
RPS6KB1	0.975245513504987	RPS6KB1	HGNC:10436
DPF2	0.439575413671102	DPF2	HGNC:9964
GBX2	0.97983370635152	GBX2	HGNC:4186
PATZ1	0.974176609273338	PATZ1	HGNC:13071
MEF2C	0.698059346001065	MEF2C	HGNC:6996
KMT2A	0.999547766503865	KMT2A	HGNC:7132
DHX8	0.837608459758421	DHX8	HGNC:2749
MBTD1	0.992810714313659	MBTD1	HGNC:19866
SPTAN1	0.998008186400386	SPTAN1	HGNC:11273
CENPB	0.607751359090927	CENPB	HGNC:1852
RNF31	0.722077213774217	RNF31	HGNC:16031
TBX3	0.999502867083826	TBX3	HGNC:11602
CNOT1	0.996406317896123	CNOT1	HGNC:7877
DLL1	0.99949192268788	DLL1	HGNC:2908
JAG1	0.999487841654245	JAG1	HGNC:6188
RXRB	0.853163417856713	RXRB	HGNC:10478
AP2B1	0.933397911040963	AP2B1	HGNC:563
TUBG1	0.461481515478051	TUBG1	HGNC:12417
CLPTM1	0.645665535794758	CLPTM1	HGNC:2087
MAPK1	0.772668988323703	MAPK1	HGNC:6871
PI4KB	0.811862649670757	PI4KB	HGNC:8984
PIK3R2	0.193323554671752	PIK3R2	HGNC:8980
INTS3	0.837863118332108	INTS3	HGNC:26153
LY6D	0.403071193731962	LY6D	HGNC:13348
MAB21L2	0.564042208496867	MAB21L2	HGNC:6758
NAA60	0.725308256576823	NAA60	HGNC:25875
ELAVL1	0.877506208380292	ELAVL1	HGNC:3312
WNK1	0.999406923297742	WNK1	HGNC:14540
KCNC1	0.912775774819952	KCNC1	HGNC:6233
INO80	0.96118938934304	INO80	HGNC:26956
TRIM33	0.976539420826058	TRIM33	HGNC:16290
DDX39B	0.814702010617737	DDX39B	HGNC:13917
PPP3CB	0.935168220314133	PPP3CB	HGNC:9315
CAMTA1	0.999349405942027	CAMTA1	HGNC:18806
SENP3	0.80759536045965	SENP3	HGNC:17862
TNIK	0.993712192129323	TNIK	HGNC:30765
NF1	0.995928774081268	NF1	HGNC:7765
AKT3	0.993997694578251	AKT3	HGNC:393
GTPBP2	0.685816061856326	GTPBP2	HGNC:4670
TRIM39	0.966241318707073	TRIM39	HGNC:10065
KMT2D	0.991389974968219	KMT2D	HGNC:7133
RRAS2	0.935476446885153	RRAS2	HGNC:17271
BAG6	0.888948741635717	BAG6	HGNC:13919
IRX1	0.982975544827508	IRX1	HGNC:14358
GRHL1	0.90133516311896	GRHL1	HGNC:17923
RYR2	0.978684386380282	RYR2	HGNC:10484
CDC42BPA	0.927200665179119	CDC42BPA	HGNC:1737
WWP2	0.816691000310144	WWP2	HGNC:16804
TRIP12	0.999254068400997	TRIP12	HGNC:12306
FXR2	0.935234116048428	FXR2	HGNC:4024
CHD2	0.999203507520919	CHD2	HGNC:1917
KMT2E	0.999191985432701	KMT2E	HGNC:18541
RTF1	0.866052751124142	RTF1	HGNC:28996
ZBTB18	0.99917231325902	ZBTB18	HGNC:13030
SF3B4	0.86992668896439	SF3B4	HGNC:10771
ELAVL3	0.47551975493571	ELAVL3	HGNC:3314
MBD1	0.91237870262253	MBD1	HGNC:6916
IGF1R	0.999150928807354	IGF1R	HGNC:5465
NFYC	0.734982948078093	NFYC	HGNC:7806
DDX6	0.954027315096478	DDX6	HGNC:2747
PRR12	0.969405958294443	PRR12	HGNC:29217
SF3B2	0.551241837614656	SF3B2	HGNC:10769
EP300	0.999119695512303	EP300	HGNC:3373
TMEM229A	0.737737369157122	TMEM229A	HGNC:37279
USP19	0.760160433797013	USP19	HGNC:12617
CKAP5	0.975574649557098	CKAP5	HGNC:28959
BAZ2A	0.879486100379848	BAZ2A	HGNC:962
SMARCA2	0.999095855484614	SMARCA2	HGNC:11098
DNAJA2	0.950263500062319	DNAJA2	HGNC:14884
VPS39	0.38973043876182	VPS39	HGNC:20593
COL1A1	0.993061076643443	COL1A1	HGNC:2197
SF3A1	0.948530052467335	SF3A1	HGNC:10765
GLI3	0.999077931137566	GLI3	HGNC:4319
CBX5	0.76403653275446	CBX5	HGNC:1555
MORC2	0.990738108784221	MORC2	HGNC:23573
TLN1	0.983927026889864	TLN1	HGNC:11845
SYNE1	0.867693408685323	SYNE1	HGNC:17089
SOS1	0.991796985507719	SOS1	HGNC:11187
WNT3	0.974089344346306	WNT3	HGNC:12782
RELA	0.566165315306116	RELA	HGNC:9955
TNPO2	0.869743715674212	TNPO2	HGNC:19998
UBE2QL1	0.986276949371178	UBE2QL1	HGNC:37269
CAD	0.983061165003048	CAD	HGNC:1424
ARHGDIG	0.765271121826782	ARHGDIG	HGNC:680
ANKRD52	0.693936564475518	ANKRD52	HGNC:26614
CANX	0.99369081491489	CANX	HGNC:1473
COL5A1	0.998987377053248	COL5A1	HGNC:2209
TFAP2B	0.996547073694871	TFAP2B	HGNC:11743
NUP188	0.974406607950094	NUP188	HGNC:17859
FBN1	0.99897615427687	FBN1	HGNC:3603
QRICH1	0.890464479483845	QRICH1	HGNC:24713
BRPF3	0.898581840496862	BRPF3	HGNC:14256
RNF208	0.745167073085774	RNF208	HGNC:25420
OXT	0.745418797206938	OXT	HGNC:8528
ZMYND8	0.997164210743653	ZMYND8	HGNC:9397
IPO13	0.826337822566613	IPO13	HGNC:16853
ACLY	0.745462944965657	ACLY	HGNC:115
CALB2	0.446700947428407	CALB2	HGNC:1435
EFNB2	0.998810916191997	EFNB2	HGNC:3227
RERE	0.998800307350694	RERE	HGNC:9965
MTSS1L	0.803743212752111	MTSS2	HGNC:25094
MLLT4	0.99845428536244	AFDN	HGNC:7137
NFIB	0.998790114196564	NFIB	HGNC:7785
VPS4A	0.574418988092308	VPS4A	HGNC:13488
SETBP1	0.998759822314846	SETBP1	HGNC:15573
ATXN7L1	0.953786900643887	ATXN7L1	HGNC:22210
CARM1	0.776493562110985	CARM1	HGNC:23393
TBL1XR1	0.998731367234606	TBL1XR1	HGNC:29529
OPA1	0.991834170844956	OPA1	HGNC:8140
STAT5B	0.917340224518443	STAT5B	HGNC:11367
KDM3B	0.990974982363688	KDM3B	HGNC:1337
CNNM2	0.972639485875643	CNNM2	HGNC:103
GANAB	0.896560228176767	GANAB	HGNC:4138
HDAC1	0.69383119285039	HDAC1	HGNC:4852
MED13	0.998662508971753	MED13	HGNC:22474
BPTF	0.998653042734899	BPTF	HGNC:3581
SPEN	0.998636942710885	SPEN	HGNC:17575
HIPK1	0.978806476977297	HIPK1	HGNC:19006
KLHDC3	0.667866075330112	KLHDC3	HGNC:20704
KAT6B	0.998614400126219	KAT6B	HGNC:17582
DIP2C	0.998596795061255	DIP2C	HGNC:29150
EGLN3	0.618987515542503	EGLN3	HGNC:14661
NIPBL	0.998580625413853	NIPBL	HGNC:28862
SRC	0.725433153901414	SRC	HGNC:11283
CHD7	0.998572096111371	CHD7	HGNC:20626
MAP3K12	0.518732074322033	MAP3K12	HGNC:6851
AGO3	0.982643071814858	AGO3	HGNC:18421
CHD3	0.978261334885583	CHD3	HGNC:1918
SPTBN1	0.997021148922493	SPTBN1	HGNC:11275
CNOT6L	0.964344419901012	CNOT6L	HGNC:18042
CEP170B	0.859080027131947	CEP170B	HGNC:20362
ACACA	0.995430857922671	ACACA	HGNC:84
KPRP	0.0957535982098729	KPRP	HGNC:31823
CHERP	0.920842491252668	CHERP	HGNC:16930
NELFB	0.399653207877221	NELFB	HGNC:24324
HNRNPU	0.998440182904303	HNRNPU	HGNC:5048
SSRP1	0.7490093602033	SSRP1	HGNC:11327
HNRNPUL1	0.986097256707858	HNRNPUL1	HGNC:17011
UBE4B	0.979801640369599	UBE4B	HGNC:12500
BAZ1B	0.986166653925798	BAZ1B	HGNC:961
SIN3A	0.998382249572421	SIN3A	HGNC:19353
SATB2	0.998377017420856	SATB2	HGNC:21637
ABL1	0.988444381518289	ABL1	HGNC:76
BECN1	0.702892004969047	BECN1	HGNC:1034
NR2F2	0.998333921219227	NR2F2	HGNC:7976
RARB	0.996622431967765	RARB	HGNC:9865
CSNK2A2	0.954140223859962	CSNK2A2	HGNC:2459
C5orf38	0.988887141653679	IRX2-DT	HGNC:24226
PSMC3	0.586069001782909	PSMC3	HGNC:9549
EHMT1	0.998267651649948	EHMT1	HGNC:24650
USP14	0.9982623437612	USP14	HGNC:12612
DDX1	0.987128240480214	DDX1	HGNC:2734
PPP1CA	0.430399540454687	PPP1CA	HGNC:9281
PPP3CA	0.96715074263647	PPP3CA	HGNC:9314
PCGF1	0.661730136170337	PCGF1	HGNC:17615
MAT2A	0.957565360454428	MAT2A	HGNC:6904
TUBB2B	0.980998478292476	TUBB2B	HGNC:30829
PIAS1	0.989868402643941	PIAS1	HGNC:2752
USP34	0.998169636381441	USP34	HGNC:20066
CAMK2A	0.934669875312874	CAMK2A	HGNC:1460
ASB7	0.998156032663558	ASB7	HGNC:17182
ILF3	0.98977309032709	ILF3	HGNC:6038
MEIS1	0.998139871863572	MEIS1	HGNC:7000
TRIO	0.998136855574517	TRIO	HGNC:12303
HECTD1	0.998121566438737	HECTD1	HGNC:20157
ZSWIM8	0.942383731004364	ZSWIM8	HGNC:23528
R3HDM2	0.892716910924583	R3HDM2	HGNC:29167
NALCN	0.900563079544543	NALCN	HGNC:19082
WASL	0.944208442193328	WASL	HGNC:12735
PSMC4	0.433477694425442	PSMC4	HGNC:9551
PPM1B	0.462298900508479	PPM1B	HGNC:9276
MTMR4	0.984218485107026	MTMR4	HGNC:7452
KIF1B	0.995469536012031	KIF1B	HGNC:16636
RAD54L2	0.961842858135104	RAD54L2	HGNC:29123
ADNP	0.99801638145052	ADNP	HGNC:15766
COPS5	0.932302649996936	COPS5	HGNC:2240
PTCH1	0.997986514428614	PTCH1	HGNC:9585
UBQLN4	0.648084330296913	UBQLN4	HGNC:1237
HOMER1	0.835889532092283	HOMER1	HGNC:17512
ITPR1	0.997965784310423	ITPR1	HGNC:6180
DNAJC7	0.803813789631277	DNAJC7	HGNC:12392
GNA12	0.939126353132242	GNA12	HGNC:4380
TRIM41	0.988155088790621	TRIM41	HGNC:19013
SATB1	0.997905042866955	SATB1	HGNC:10541
MEN1	0.763668561794384	MEN1	HGNC:7010
ANK3	0.997901871937991	ANK3	HGNC:494
BRPF1	0.987179858803379	BRPF1	HGNC:14255
FBXO11	0.996969666057002	FBXO11	HGNC:13590
VPRBP	0.936529112290706	DCAF1	HGNC:30911
PSMB1	0.997877936261069	PSMB1	HGNC:9537
PSMA6	0.778872943265055	PSMA6	HGNC:9535
ZNF516	0.997827363773828	ZNF516	HGNC:28990
PAFAH1B1	0.985456482618145	PAFAH1B1	HGNC:8574
SOX9	0.997817608540073	SOX9	HGNC:11204
NLK	0.960094531271714	NLK	HGNC:29858
CTNNA1	0.974771186690305	CTNNA1	HGNC:2509
UBR5	0.997790284656946	UBR5	HGNC:16806
NFATC2	0.98750675251304	NFATC2	HGNC:7776
SMAD2	0.981927770073753	SMAD2	HGNC:6768
ZNF236	0.997776620120251	ZNF236	HGNC:13028
HIVEP2	0.997770109669236	HIVEP2	HGNC:4921
JAG2	0.881766033815107	JAG2	HGNC:6189
GOLPH3	0.568574056534313	GOLPH3	HGNC:15452
MEF2A	0.997727472101682	MEF2A	HGNC:6993
ASH2L	0.932213755639307	ASH2L	HGNC:744
SETD5	0.997710426742946	SETD5	HGNC:25566
KCTD1	0.954794484150034	KCTD1	HGNC:18249
ANK2	0.997706705367752	ANK2	HGNC:493
PDE10A	0.997692387564951	PDE10A	HGNC:8772
RUVBL2	0.852501364833544	RUVBL2	HGNC:10475
DDX46	0.971064855205421	DDX46	HGNC:18681
IRF4	0.997650351313878	IRF4	HGNC:6119
WDR61	0.510238054255096	SKIC8	HGNC:30300
NXF1	0.624101623426941	NXF1	HGNC:8071
S1PR1	0.551670824628599	S1PR1	HGNC:3165
USP24	0.99584161601832	USP24	HGNC:12623
WDR26	0.997603904415579	WDR26	HGNC:21208
DICER1	0.997597495023841	DICER1	HGNC:17098
SCAF8	0.997594297723386	SCAF8	HGNC:20959
CSNK1E	0.836782402553925	CSNK1E	HGNC:2453
TFDP1	0.966992739201763	TFDP1	HGNC:11749
HELZ	0.997528352003227	HELZ	HGNC:16878
STAG1	0.996395771294817	STAG1	HGNC:11354
NUDT21	0.925949362792004	NUDT21	HGNC:13870
ATP1A3	0.895444345056018	ATP1A3	HGNC:801
ARID4B	0.997455588706236	ARID4B	HGNC:15550
FNDC3B	0.997443879797787	FNDC3B	HGNC:24670
MECOM	0.997425504989029	MECOM	HGNC:3498
KIF21A	0.748275333800342	KIF21A	HGNC:19349
CRK	0.97320518699635	CRK	HGNC:2362
HNRNPR	0.991355269429036	HNRNPR	HGNC:5047
NAV2	0.997240318826771	NAV2	HGNC:15997
PAXIP1	0.997380959534793	PAXIP1	HGNC:8624
PROX1	0.997351081617236	PROX1	HGNC:9459
HIPK2	0.984445940003732	HIPK2	HGNC:14402
PAPOLA	0.997269275266315	PAPOLA	HGNC:14981
UBE2D2	0.829133646545218	UBE2D2	HGNC:12475
DOCK3	0.964386835871666	DOCK3	HGNC:2989
UBA2	0.947859362742698	UBA2	HGNC:30661
NFIA	0.997212686183	NFIA	HGNC:7784
UBAP2L	0.968652653380685	UBAP2L	HGNC:29877
CAMK2G	0.628056378571901	CAMK2G	HGNC:1463
KCNH1	0.947961622004268	KCNH1	HGNC:6250
TRPS1	0.997200603787083	TRPS1	HGNC:12340
GSK3B	0.896278124229634	GSK3B	HGNC:4617
SMCHD1	0.997193694289573	SMCHD1	HGNC:29090
ARID2	0.9971499085391	ARID2	HGNC:18037
DST	0.997145003490078	DST	HGNC:1090
ZFHX3	0.997137450421558	ZFHX3	HGNC:777
KPNA1	0.848253233974338	KPNA1	HGNC:6394
PBX1	0.997123358906942	PBX1	HGNC:8632
UBE2O	0.969417611989534	UBE2O	HGNC:29554
PRPF4B	0.996430119315932	PRP4K	HGNC:17346
PHF12	0.927436633071374	PHF12	HGNC:20816
JARID2	0.997070792403926	JARID2	HGNC:6196
PLXNC1	0.997047615758192	PLXNC1	HGNC:9106
AHCYL1	0.432787210568838	AHCYL1	HGNC:344
MARCH6	0.997011855230721	MARCHF6	HGNC:30550
PPARD	0.621662389214868	PPARD	HGNC:9235
DYRK1A	0.996988026759609	DYRK1A	HGNC:3091
TNRC6A	0.996984210662666	TNRC6A	HGNC:11969
ARIH2	0.749503763827182	ARIH2	HGNC:690
TNRC6B	0.996969849098625	TNRC6B	HGNC:29190
CSNK1G2	0.608486142125327	CSNK1G2	HGNC:2455
AP2A1	0.873993939267023	AP2A1	HGNC:561
ITSN1	0.996413119403726	ITSN1	HGNC:6183
CUL3	0.994853881528645	CUL3	HGNC:2553
KAT2A	0.343014899272029	KAT2A	HGNC:4201
PSME4	0.99688315145652	PSME4	HGNC:20635
MYT1L	0.99687367562647	MYT1L	HGNC:7623
GRIN2D	0.961013740087708	GRIN2D	HGNC:4588
PUF60	0.799643576943082	PUF60	HGNC:17042
KMT2C	0.996826665824871	KMT2C	HGNC:13726
HTT	0.995585578926116	HTT	HGNC:4851
ZEB2	0.996792283198584	ZEB2	HGNC:14881
DLG2	0.98603645747501	DLG2	HGNC:2901
RFX3	0.996767288209972	RFX3	HGNC:9984
LRRC8D	0.612183038040759	LRRC8D	HGNC:16992
ZIC1	0.950905070266473	ZIC1	HGNC:12872
SETD1A	0.949597774011591	SETD1A	HGNC:29010
COPA	0.91125847301663	COPA	HGNC:2230
ZMYM4	0.978646389965219	ZMYM4	HGNC:13055
SETD1B	0.936730776676562	SETD1B	HGNC:29187
RHOA	0.475815771524407	RHOA	HGNC:667
HOXB8	0.93294125414562	HOXB8	HGNC:5119
SRF	0.894220279398188	SRF	HGNC:11291
CCNK	0.995609439511934	CCNK	HGNC:1596
STT3B	0.993763397584659	STT3B	HGNC:30611
TP73	0.996611818424676	TP73	HGNC:12003
IRF6	0.996582227319538	IRF6	HGNC:6121
RBPJ	0.992313613317162	RBPJ	HGNC:5724
DQX1	0.684832886080135	DQX1	HGNC:20410
DSP	0.996569597139254	DSP	HGNC:3052
PUM1	0.989363619557069	PUM1	HGNC:14957
SALL4	0.996549551415346	SALL4	HGNC:15924
RBM39	0.949567797086704	RBM39	HGNC:15923
CHD1	0.99652717582632	CHD1	HGNC:1915
WDFY3	0.996501564273348	WDFY3	HGNC:20751
TBX5	0.996492171882816	TBX5	HGNC:11604
ZNF521	0.996489998499512	ZNF521	HGNC:24605
FOXC1	0.996464707252778	FOXC1	HGNC:3800
NBEA	0.996452121685323	NBEA	HGNC:7648
FOXF1	0.996430763690368	FOXF1	HGNC:3809
DYRK1B	0.689957678611359	DYRK1B	HGNC:3092
DHX15	0.996421712491873	DHX15	HGNC:2738
ROCK2	0.996419024914427	ROCK2	HGNC:10252
LMX1B	0.996419012938047	LMX1B	HGNC:6654
PURA	0.931753305414961	PURA	HGNC:9701
BARHL2	0.977463452651058	BARHL2	HGNC:954
TSC1	0.996391697863837	TSC1	HGNC:12362
BRD4	0.987965479356351	BRD4	HGNC:13575
FLI1	0.996340368753253	FLI1	HGNC:3749
TRIM24	0.994270872932767	TRIM24	HGNC:11812
NCOR1	0.996332399542552	NCOR1	HGNC:7672
PDIA2	0.350154054228784	PDIA2	HGNC:14180
DYRK2	0.918162448765709	DYRK2	HGNC:3093
CECR6	0.231788186593634	TMEM121B	HGNC:1844
SALL3	0.99623954274668	SALL3	HGNC:10527
MYH9	0.991703586337426	MYH9	HGNC:7579
PDS5A	0.988577252585583	PDS5A	HGNC:29088
CSNK2B	0.732405816009593	CSNK2B	HGNC:2460
NR5A1	0.994098779265856	NR5A1	HGNC:7983
PITX2	0.974934600702085	PITX2	HGNC:9005
IKZF4	0.601304872771623	IKZF4	HGNC:13179
RBBP5	0.954990382227799	RBBP5	HGNC:9888
GATAD2B	0.92833110519773	GATAD2B	HGNC:30778
