gene	transcript	UniProt_id	mean_am_pathogenicity	mean_am_pathogenicity_bin	exp_lof	mean_phylop	mean_phylop_bin	oe_lof_upper	oe_lof_upper_bin	loeuf_low_powered
TUBB2A	ENST00000333628	Q13885	0.820025636	0	13.082	4.799652576	0	0.363	1	FALSE
TUBA1B	ENST00000336023	P68363	0.815461568	0	15.049	4.693283081	0	0.315	1	FALSE
RPS11	ENST00000270625	P62280	0.814564288	0	9.1105	4.466406822	0	0.328	1	TRUE
RPL27	ENST00000589913	P61353	0.814167058	0	6.2354	3.37453723	0	0.48	2	TRUE
RPL23	ENST00000394332	P62829	0.813076746	0	8.9098	4.053283215	0	0.707	3	TRUE
BUD31	ENST00000222969	P41223	0.810433608	0	7.2637	2.304554224	2	0.867	4	TRUE
RPL18A	ENST00000222247	Q02543	0.809995088	0	12.288	4.613818645	0	0.243	0	FALSE
RPS18	ENST00000439602	P62269	0.808544236	0	11.45	4.492692471	0	0.261	0	FALSE
TUBB	ENST00000327892	P07437	0.807505694	0	16.22	3.172269821	1	0.292	1	FALSE
RPS4X	ENST00000316084	P62701	0.804900902	0	8.5713	3.002908468	1	0.349	1	TRUE
RPL36	ENST00000394580	Q9Y3U8	0.803924747	0	3.6984	2.662107944	1	0.806	4	TRUE
ARPC4	ENST00000397261	P59998	0.802427832	0	10.88	1.634302139	4	0.275	0	FALSE
H2AFV	ENST00000308153	Q71UI9	0.801909135	0	5.7652	3.771173	0	0.822	4	TRUE
RPS14	ENST00000312037	P62263	0.801125909	0	7.5633	3.731532335	0	0.396	1	TRUE
RPS2	ENST00000343262	P15880	0.799935944	0	10.543	4.730018616	0	0.45	1	FALSE
RPL31	ENST00000409733	P62899	0.797987305	0	6.466	2.53178215	2	0.463	2	TRUE
CALM3	ENST00000596362	P0DP25	0.797212058	0	8.4093	2.628551006	2	0.564	2	TRUE
UFM1	ENST00000239878	P61960	0.796561961	0	6.069	0.424639195	8	1.035	5	TRUE
ARF1	ENST00000541182	P84077	0.795527363	0	7.4377	2.980309486	1	0.402	1	TRUE
RPS3	ENST00000524851	P23396	0.794962913	0	11.894	4.955879688	0	0.251	0	FALSE
SNRPD2	ENST00000588301	P62316	0.794760304	0	5.3448	2.73268652	1	0.56	2	TRUE
RPS8	ENST00000396651	P62241	0.794492511	0	13.846	4.637341976	0	0.216	0	FALSE
RPL10	ENST00000344746	P27635	0.794399876	0	7.7277	1.208384156	5	0.387	1	TRUE
RPS15A	ENST00000565420	P62244	0.794084063	0	5.3563	3.074578524	1	0.559	2	TRUE
RAC1	ENST00000348035	P63000	0.793652517	0	11.117	2.441201687	2	0.269	0	FALSE
HIST2H2AB	ENST00000331128	Q8IUE6	0.793593803	0	3.0217	2.817234039	1	0.976	5	TRUE
HIST2H2AC	ENST00000331380	Q16777	0.792183213	0	2.5993	3.896899939	0	1.589	8	TRUE
NUDT21	ENST00000300291	O43809	0.791964627	0	12.881	1.264096022	5	0.232	0	FALSE
TUBA1C	ENST00000301072	Q9BQE3	0.791734683	0	14.959	2.417340755	2	0.792	4	FALSE
PPP1CB	ENST00000395366	P62140	0.790397644	0	20.35	2.320173502	2	0.147	0	FALSE
TUBA3C	ENST00000400113	P0DPH8	0.789810279	0	13.69	3.73351264	0	0.865	4	FALSE
RPS6	ENST00000380394	P62753	0.789795844	0	11.45	3.062247515	1	0.261	0	FALSE
RAN	ENST00000392369	P62826	0.789743911	0	11.434	3.084360361	1	0.262	0	FALSE
HIST1H2AM	ENST00000359611	P0C0S8	0.789674608	0	2.5323	4.410674572	0	1.973	9	TRUE
TUBB3	ENST00000315491	Q13509	0.788727891	0	15.044	4.548664093	0	0.315	1	FALSE
RPS13	ENST00000525634	P62277	0.788721315	0	11.205	5.289262295	0	0.423	1	FALSE
RPL7A	ENST00000323345	P62424	0.787225246	0	15.625	4.611749649	0	0.191	0	FALSE
RPS5	ENST00000596046	P46782	0.786776354	0	9.3018	1.64205718	4	0.322	1	TRUE
CSNK2B	ENST00000375866	P67870	0.78529609	0	12.396	4.212772369	0	0.383	1	FALSE
EEF1A2	ENST00000217182	Q05639	0.784672399	0	16.035	4.27803421	0	0.186	0	FALSE
UBE2D3	ENST00000349311	P61077	0.783538152	0	9.0068	4.456458092	0	0.527	2	TRUE
RPL23A	ENST00000422514	P62750	0.782690007	0	7.6201	2.924886465	1	0.393	1	TRUE
HIST1H2AD	ENST00000341023	P20671	0.782583711	0	3.5086	4.607972145	0	1.947	9	TRUE
TXNL4A	ENST00000269601	P83876	0.782275707	0	5.6129	0.441562176	8	1.822	9	TRUE
HIST1H2AH	ENST00000377459	Q96KK5	0.782081129	0	2.3359	4.57538271	0	1.942	9	TRUE
GNB2L1	ENST00000512805	P63244	0.781105976	0	18.694	4.818656445	0	0.16	0	FALSE
TUBB4A	ENST00000264071	P04350	0.779700686	0	13.59	3.247315884	1	0.674	3	FALSE
RPS20	ENST00000521262	P60866	0.779345616	0	6.6713	3.332610846	0	1.159	6	TRUE
ERH	ENST00000557016	P84090	0.778846106	0	7.1056	3.283558607	0	0.421	1	TRUE
RPL17	ENST00000580261	P18621	0.778316292	0	12.647	4.808398724	0	0.375	1	FALSE
RPL19	ENST00000225430	P84098	0.777621424	0	12.241	4.93945694	0	0.244	0	FALSE
RPS12	ENST00000230050	P25398	0.776853748	0	7.0418	5.109886646	0	0.425	1	TRUE
H2AFZ	ENST00000296417	P0C0S5	0.776835219	0	6.8723	3.580770969	0	0.435	1	TRUE
TUBA4A	ENST00000248437	P68366	0.776094254	0	14.76	4.037427902	0	0.62	3	FALSE
RPL5	ENST00000370321	P46777	0.776073176	0	17.854	5.216150761	0	0.167	0	FALSE
RPL36AL	ENST00000298289	Q969Q0	0.776045424	0	3.2306	2.41930604	2	1.684	8	TRUE
RPL12	ENST00000361436	P30050	0.775763876	0	11.536	4.279424191	0	0.793	4	FALSE
RPL38	ENST00000533498	P63173	0.773399485	0	5.7589	2.162050486	3	0.52	2	TRUE
HIST1H2AE	ENST00000303910	P04908	0.773153186	0	2.4522	4.058712959	0	1.825	9	TRUE
LSM2	ENST00000375661	Q9Y333	0.772898639	0	7.0626	1.821989655	4	1.738	8	TRUE
ARF3	ENST00000541959	P61204	0.771897143	0	8.7946	3.919029713	0	0.716	3	TRUE
PPP1CC	ENST00000335007	P36873	0.771714683	0	17.459	3.526586771	0	0.361	1	FALSE
RPS27A	ENST00000404735	P62979	0.771195017	0	8.0761	3.749159575	0	0.37	1	TRUE
RPL35	ENST00000348462	P42766	0.770893047	0	6.5589	4.230165958	0	0.723	3	TRUE
LSM3	ENST00000306024	P62310	0.770418262	0	7.5944	0.481264949	8	1.766	8	TRUE
RPL30	ENST00000287038	P62888	0.770103489	0	6.1635	4.547070026	0	0.486	2	TRUE
RPL32	ENST00000396953	P62910	0.770077584	0	5.3178	1.179918647	6	0.563	2	TRUE
POLR2H	ENST00000456318	P52434	0.76878554	0	7.6861	1.436938286	5	0.617	2	TRUE
RPS27L	ENST00000330964	Q71UM5	0.767838388	0	4.8707	0.336259246	8	1.275	6	TRUE
SAP18	ENST00000607003	O00422	0.767743623	0	8.0779	1.158261538	6	0.587	2	TRUE
HIST2H2BE	ENST00000369155	Q16778	0.766768013	0	2.3487	0.846229672	7	1.207	6	TRUE
OSTC	ENST00000361564	Q9NRP0	0.76623059	0	7.8709	2.638294697	2	1.161	6	TRUE
DYNLL1	ENST00000242577	P63167	0.765283398	0	3.9331	3.479645729	0	0.759	3	TRUE
GTF2A2	ENST00000396061	P52657	0.763669101	0	5.6206	2.338600397	2	1.359	7	TRUE
RQCD1	ENST00000542068	Q92600	0.763598586	0	17.394	2.366812229	2	0.362	1	FALSE
RPL3	ENST00000216146	P39023	0.763000146	0	19.812	5.025953293	0	0.239	0	FALSE
RPSA	ENST00000301821	P08865	0.761774579	0	12.894	4.490326881	0	0.368	1	FALSE
HIST1H2BN	ENST00000396980	Q99877	0.761275733	0	2.3445	4.141427994	0	1.942	9	TRUE
DCAF7	ENST00000431926	P61962	0.761240363	0	8.3533	4.927135944	0	0.358	1	TRUE
RBX1	ENST00000216225	P62877	0.761101302	0	9.2615	1.846599698	3	0.323	1	TRUE
GNB1	ENST00000378609	P62873	0.761008346	0	20.611	3.309111118	0	0.145	0	FALSE
PPP1CA	ENST00000376745	P62136	0.759765984	0	17.127	3.962283134	0	0.368	1	FALSE
LSM5	ENST00000450169	Q9Y4Y9	0.759390973	0	5.6392	0.874881685	7	1.355	7	TRUE
PPP2CA	ENST00000481195	P67775	0.759384048	0	18.064	1.974339962	3	0.263	0	FALSE
SUPT4H1	ENST00000580947	P63272	0.759304272	0	9.7567	3.135860682	1	1.212	6	TRUE
HIST1H2BK	ENST00000356950	O60814	0.758810438	0	2.2286	3.950866222	0	1.976	9	TRUE
RPS28	ENST00000600659	P62857	0.758478763	0	3.7503	0.666467667	7	0.796	4	TRUE
U2AF1	ENST00000291552	P0DN76	0.758273412	0	13.812	4.238385677	0	0.216	0	FALSE
RHOA	ENST00000418115	P61586	0.75823233	0	7.1436	3.466223478	0	0.664	3	TRUE
EIF4A1	ENST00000293831	P60842	0.757578728	0	25.388	4.121850491	0	0.117	0	FALSE
VCP	ENST00000358901	P55072	0.757345338	0	37.478	4.20157671	0	0.127	0	FALSE
FCF1	ENST00000341162	Q9Y324	0.755492378	0	13.765	0.728430986	7	0.764	3	FALSE
HIST1H2BI	ENST00000377733	P62807	0.75513657	0	2.2595	3.86154604	0	1.915	9	TRUE
PFN2	ENST00000239940	P35080	0.755095835	0	5.2569	3.434576273	0	0.901	4	TRUE
RPL10A	ENST00000322203	P62906	0.754979099	0	10.682	4.703612804	0	0.444	1	FALSE
HIST1H2AC	ENST00000602637	Q93077	0.754759541	0	2.8389	1.112577438	6	1.033	5	TRUE
ETF1	ENST00000360541	P62495	0.754755515	0	25.12	3.999150276	0	0.251	0	FALSE
ARPC2	ENST00000295685	O15144	0.753580135	0	17.775	4.304953575	0	0.168	0	FALSE
HIST3H2A	ENST00000366695	Q7L7L0	0.753204844	0	2.2472	1.472499371	5	1.247	6	TRUE
HIST1H2AJ	ENST00000333151	Q99878	0.750966155	0	1.9035	3.962067366	0	1.886	9	TRUE
RPL37A	ENST00000491306	P61513	0.750442193	0	5.9746	0.525676072	8	1.494	7	TRUE
CSNK1A1	ENST00000377843	P48729	0.750440649	0	20.349	4.517373562	0	0.233	0	FALSE
PRPS1	ENST00000372435	P60891	0.750274247	0	7.9356	2.781264067	1	0.377	1	TRUE
UFC1	ENST00000368003	Q9Y3C8	0.749767798	0	13.087	2.8324368	1	0.905	4	FALSE
RHOC	ENST00000369632	P08134	0.749684786	0	9.174	2.996137381	1	0.517	2	TRUE
PSMC1	ENST00000261303	P62191	0.749648834	0	21.605	1.651156306	4	0.138	0	FALSE
TPT1	ENST00000530705	P13693	0.749460177	0	9.7727	0.65144521	7	0.485	2	TRUE
UBE2D1	ENST00000373910	P51668	0.749315521	0	9.519	2.071127653	3	0.815	4	TRUE
RAC3	ENST00000306897	P60763	0.749243293	0	8.281	2.457194805	2	1.266	6	TRUE
PRPF8	ENST00000572621	Q6P2Q9	0.749216558	0	122.83	5.629493237	0	0.178	0	FALSE
ARPC3	ENST00000228825	O15145	0.74882156	0	11.355	3.261849642	1	0.683	3	FALSE
SNRPG	ENST00000272348	P62308	0.74848147	0	5.3962	2.194954395	3	0.555	2	TRUE
GNB2	ENST00000393924	P62879	0.748034822	0	17.932	3.898615599	0	0.265	0	FALSE
RPL21	ENST00000326092	P46778	0.747936358	0	10.354	4.186778545	0	0.458	2	FALSE
SNRPF	ENST00000266735	P62306	0.74778319	0	5.2437	1.359698296	5	0.571	2	TRUE
HSPA8	ENST00000227378	P11142	0.747412045	0	23.577	5.023780823	0	0.201	0	FALSE
RBBP4	ENST00000373493	Q09028	0.745611461	0	24.897	1.359725595	5	0.253	0	FALSE
UBA52	ENST00000599595	P62987	0.744976994	0	7.2292	3.142752647	1	0.656	3	TRUE
UBE2E2	ENST00000396703	Q96LR5	0.744455828	0	10.329	2.238013029	2	0.29	0	FALSE
SMU1	ENST00000397149	Q2TAY7	0.743980489	0	27.654	1.051514745	6	0.108	0	FALSE
SEC61A2	ENST00000298428	Q9H9S3	0.743713721	0	28.127	3.843019247	0	0.558	2	FALSE
EEF2	ENST00000309311	P13639	0.742765855	0	36.674	4.439425945	0	0.172	0	FALSE
ARF5	ENST00000000233	P84085	0.742269764	0	9.0614	3.057223797	1	0.33	1	TRUE
PPP6C	ENST00000373547	O00743	0.742087777	0	18.419	2.544208527	2	0.258	0	FALSE
HIST1H2BJ	ENST00000339812	P06899	0.741783482	0	2.0292	4.195561886	0	1.874	9	TRUE
PABPC1	ENST00000318607	P11940	0.741555975	0	33.947	4.879533291	0	0.27	0	FALSE
CNIH1	ENST00000216416	O95406	0.741555826	0	7.6526	1.060357332	6	0.62	3	TRUE
POLR2K	ENST00000353107	P53803	0.741330908	0	3.5259	1.281089783	5	1.879	9	TRUE
PRPS2	ENST00000380668	P11908	0.741091936	0	9.0412	2.102973461	3	0.331	1	TRUE
CFL1	ENST00000525451	P23528	0.740902694	0	6.6288	1.694081426	4	0.716	3	TRUE
RRAGA	ENST00000380527	Q7L523	0.74073898	0	8.8285	3.500173092	0	0.713	3	TRUE
RAP1B	ENST00000537460	P61224	0.740667223	0	12.149	3.788769722	0	0.39	1	FALSE
DSTN	ENST00000246069	P60981	0.739861652	0	6.5822	1.021891713	6	0.721	3	TRUE
PPP2CB	ENST00000221138	P62714	0.739781887	0	17.467	3.340060949	0	0.524	2	FALSE
SKP1	ENST00000522855	P63208	0.739618245	0	9.0229	4.472581863	0	0.698	3	TRUE
RPL13A	ENST00000391857	P40429	0.73957022	0	14.675	2.534645081	2	0.429	1	FALSE
AP2M1	ENST00000292807	Q96CW1	0.73948827	0	24.982	4.644697189	0	0.19	0	FALSE
RPS21	ENST00000343986	P63220	0.739219841	0	5.7658	2.530030727	2	1.088	5	TRUE
RAC2	ENST00000249071	P15153	0.738408983	0	10.526	2.193336964	3	0.284	0	FALSE
UBE2QL1	ENST00000399816	A1L167	0.73821421	0	3.7016	0.465619624	8	0.806	4	TRUE
BANF1	ENST00000527348	O75531	0.737893053	0	3.4091	1.830437183	4	0.872	4	TRUE
PPP4C	ENST00000561610	P60510	0.736603461	0	18.711	2.987750292	1	0.489	2	FALSE
RPL18	ENST00000549920	Q07020	0.73650389	0	10.54	3.766132355	0	0.284	0	FALSE
SEC61G	ENST00000450622	P60059	0.736392587	0	3.1895	2.3128829	2	0.929	4	TRUE
ACTR3	ENST00000263238	P61158	0.736361517	0	25.202	1.727037668	4	0.118	0	FALSE
PSMC6	ENST00000445930	P62333	0.735779302	0	25.573	3.532764673	0	0.246	0	FALSE
SMAD3	ENST00000327367	P84022	0.735555174	0	22.861	1.333368182	5	0.4	1	FALSE
SAP30L	ENST00000297109	Q9HAJ7	0.735113198	0	10.827	0.831969142	7	1.094	5	FALSE
SSU72	ENST00000291386	Q9NP77	0.735021091	0	9.3395	2.503723383	2	0.508	2	TRUE
MYL9	ENST00000279022	P24844	0.734189217	0	5.0376	0.911140621	6	1.488	7	TRUE
MOB1B	ENST00000309395	Q7L9L4	0.734148542	0	9.9782	1.171799421	6	0.917	4	TRUE
WDR83OS	ENST00000596731	Q9Y284	0.732984551	0	5.1758	2.774873972	1	1.652	8	TRUE
HIST1H2BD	ENST00000289316	P58876	0.732777266	0	2.1533	1.749010324	4	1.971	9	TRUE
SLC25A4	ENST00000281456	P12235	0.732659851	0	9.8958	1.184720039	6	0.636	3	TRUE
ATP6V0B	ENST00000472174	Q99437	0.732187391	0	10.754	3.338371992	0	0.278	0	FALSE
CUL1	ENST00000325222	Q13616	0.732157477	0	53.944	4.682926178	0	0.144	0	FALSE
PSMC4	ENST00000157812	P43686	0.731621555	0	21.345	3.499755859	0	0.493	2	FALSE
RPS25	ENST00000527673	P62851	0.731341446	0	6.5174	4.627716541	0	0.459	2	TRUE
CTDNEP1	ENST00000318988	O95476	0.730900995	0	11.314	2.796076298	1	0.264	0	FALSE
RPS9	ENST00000391753	P46781	0.730703585	0	6.896	4.144899845	0	0.434	1	TRUE
PPP2R2B	ENST00000394411	Q00005	0.730269017	0	21.277	4.209465981	0	0.223	0	FALSE
RPS19	ENST00000593863	P39019	0.730012723	0	8.1365	4.18500948	0	0.368	1	TRUE
MYL12B	ENST00000584539	O14950	0.729789752	0	5.1853	3.257667303	1	1.204	6	TRUE
ARPC1A	ENST00000262942	Q92747	0.729448395	0	21.985	4.478078365	0	0.416	1	FALSE
DNM1	ENST00000372923	Q05193	0.729282012	0	46.978	4.670000076	0	0.252	0	FALSE
RPL8	ENST00000528957	P62917	0.729181555	0	9.7447	3.576976299	0	0.307	1	TRUE
RAB1A	ENST00000409784	P62820	0.728936084	0	10.081	3.408252478	0	0.471	2	FALSE
UBE2N	ENST00000318066	P61088	0.728782073	0	6.946	1.419647813	5	0.431	1	TRUE
TAF13	ENST00000338366	Q15543	0.72844465	0	8.4282	2.410292149	2	1.085	5	TRUE
CLTC	ENST00000269122	Q00610	0.728217273	0	88.237	4.016677856	0	0.104	0	FALSE
CAMK2G	ENST00000423381	Q13555	0.727684207	0	39.478	3.444584608	0	0.232	0	FALSE
LSM7	ENST00000252622	Q9UK45	0.727541461	0	5.6666	3.006511211	1	0.837	4	TRUE
EIF5A	ENST00000416016	P63241	0.72688006	0	7.5632	2.6341784	2	0.627	3	TRUE
FAM78B	ENST00000338353	Q5VT40	0.726051605	0	8.3066	2.612426281	2	0.758	3	TRUE
RNPS1	ENST00000301730	Q15287	0.725405552	0	11.931	3.608828545	0	0.251	0	FALSE
PSMA6	ENST00000261479	P60900	0.725374238	0	12.965	4.324248314	0	0.231	0	FALSE
PPIH	ENST00000304979	O43447	0.724979219	0	12.134	3.812597036	0	1.189	6	FALSE
AP1M1	ENST00000291439	Q9BXS5	0.724839832	0	24.348	NA	NA	0.376	1	FALSE
CPLX2	ENST00000515094	Q6PUV4	0.724452918	0	6.3223	3.755274534	0	0.75	3	TRUE
SF3B1	ENST00000335508	O75533	0.723948444	0	72.129	3.844093084	0	0.066	0	FALSE
LIMS1	ENST00000393310	P48059	0.723790976	0	15.548	1.577877045	4	0.762	3	FALSE
CAMK2D	ENST00000342666	Q13557	0.723507568	0	33.802	4.457699299	0	0.539	2	FALSE
RAB2A	ENST00000262646	P61019	0.723446437	0	13.612	2.143259048	3	0.22	0	FALSE
POLR2B	ENST00000314595	P30876	0.723363797	0	63.535	5.49437952	0	0.344	1	FALSE
SLC25A6	ENST00000381401	P12236	0.723205529	0	9.9496	2.490939379	2	0.779	3	TRUE
CBX3	ENST00000396386	Q13185	0.722900696	0	9.4253	2.084155798	3	0.668	3	TRUE
GNB4	ENST00000468623	Q9HAV0	0.722650982	0	20.674	4.20957613	0	0.698	3	FALSE
UBE2G1	ENST00000396981	P62253	0.72260572	0	10.48	2.108430862	3	0.453	2	FALSE
MAP1LC3A	ENST00000397709	Q9H492	0.722548861	0	6.1919	2.896111727	1	1.244	6	TRUE
CDK5	ENST00000485972	Q00535	0.72235228	0	18.722	3.411898375	0	0.562	2	FALSE
AGO2	ENST00000220592	Q9UKV8	0.722312629	0	44.941	1.408825755	5	0.106	0	FALSE
MOB1A	ENST00000396049	Q9H8S9	0.722267622	0	9.4827	1.118237019	6	0.315	1	TRUE
WDR82	ENST00000296490	Q6UXN9	0.721701513	0	15.879	1.821894407	4	0.396	1	FALSE
EIF4A2	ENST00000323963	Q14240	0.721652147	0	23.092	5.434427261	0	0.205	0	FALSE
HIST1H2AA	ENST00000297012	Q96QV6	0.721314404	0	0.83816	2.759722233	1	1.963	9	TRUE
PRKACB	ENST00000370689	P22694	0.721243044	0	20.544	2.469588757	2	0.377	1	FALSE
FBXW11	ENST00000265094	Q9UKB1	0.721036248	0	33.518	3.158909321	1	0.314	1	FALSE
RPL34	ENST00000394668	P49207	0.720851266	0	8.3675	2.367237806	2	0.567	2	TRUE
RHOB	ENST00000272233	P62745	0.720519869	0	5.3922	2.190165758	3	1.161	6	TRUE
PSME3	ENST00000590720	P61289	0.720115027	0	16.888	1.98917377	3	0.177	0	FALSE
RAP1A	ENST00000369709	P62834	0.719570279	0	11.714	1.717514873	4	0.537	2	FALSE
HIST2H2BF	ENST00000369167	Q5QNW6	0.719291727	0	2.0266	0.731800377	7	1.927	9	TRUE
AP2S1	ENST00000263270	P53680	0.719237502	0	9.4415	2.858672619	1	0.502	2	TRUE
PDCD6	ENST00000264933	O75340	0.718677539	0	11.127	2.305757523	2	0.945	4	FALSE
MOB4	ENST00000323303	Q9Y3A3	0.718663001	0	12.922	1.800339818	4	0.367	1	FALSE
HNRNPH1	ENST00000356731	P31943	0.71853578	0	27.272	2.599381447	2	0.109	0	FALSE
SUMO2	ENST00000420826	P61956	0.71777746	0	6.6528	1.210501552	5	0.45	1	TRUE
LAMTOR2	ENST00000368305	Q9Y2Q5	0.717755424	0	6.7724	3.056915998	1	0.929	4	TRUE
UBE2V1	ENST00000371674	Q13404	0.717705381	0	8.4168	2.55046773	2	1.246	6	TRUE
UBE2D4	ENST00000222402	Q9Y2X8	0.716708545	0	9.7194	0.467489779	8	1.474	7	TRUE
SLC25A5	ENST00000317881	P05141	0.716669665	0	8.5598	3.739721775	0	0.349	1	TRUE
CPSF4	ENST00000292476	O95639	0.716632397	0	16.501	2.64712286	1	0.555	2	FALSE
CCDC101	ENST00000317058	Q96ES7	0.716059826	0	16.031	3.236169338	1	0.82	4	FALSE
HNRNPA1	ENST00000340913	P09651	0.715879945	0	20.336	3.559437275	0	0.147	0	FALSE
AP3S1	ENST00000316788	Q92572	0.715842051	0	8.8405	3.880505323	0	1.599	8	TRUE
ABHD17B	ENST00000333421	Q5VST6	0.715786823	0	11.086	3.015581846	1	0.27	0	FALSE
KDELR2	ENST00000258739	P33947	0.715697443	0	10.523	2.011042595	3	0.737	3	FALSE
EBF3	ENST00000355311	Q9H4W6	0.715445123	0	32.065	5.40331459	0	0.242	0	FALSE
SNRPB2	ENST00000246071	P08579	0.715407147	0	11.406	1.320572376	5	0.803	4	FALSE
RPS16	ENST00000251453	P62249	0.71473511	0	8.0963	3.958803415	0	0.586	2	TRUE
MYL12A	ENST00000536605	P19105	0.714390643	0	5.3814	3.770158052	0	1.756	8	TRUE
PRPF38A	ENST00000257181	Q8NAV1	0.714092887	0	22.453	0.993032336	6	0.408	1	FALSE
CSNK1E	ENST00000400206	P49674	0.7139599	0	20.815	3.967694283	0	0.143	0	FALSE
DYNLL2	ENST00000579991	Q96FJ2	0.713863469	0	4.4939	0.750465572	7	0.666	3	TRUE
YPEL1	ENST00000339468	O60688	0.713850017	0	7.207	0.634511471	7	0.658	3	TRUE
YWHAE	ENST00000264335	P62258	0.71369118	0	12.704	4.011695862	0	0.235	0	FALSE
NCS1	ENST00000372398	P62166	0.713647696	0	12.203	0.655062795	7	0.516	2	FALSE
AGO1	ENST00000373204	Q9UL18	0.713132956	0	52.395	1.73693347	4	0.057	0	FALSE
EIF3E	ENST00000220849	P60228	0.712606309	0	24.652	3.845330715	0	0.533	2	FALSE
UBE2A	ENST00000371558	P49459	0.71239632	0	5.5739	2.498851776	2	0.537	2	TRUE
BTF3L4	ENST00000313334	Q96K17	0.712363484	0	6.7939	1.337428689	5	0.698	3	TRUE
YWHAZ	ENST00000419477	P63104	0.712275913	0	13.303	4.739417076	0	0.357	1	FALSE
CAPZB	ENST00000375142	P47756	0.712269766	0	16.611	4.024509907	0	0.379	1	FALSE
MAPK1	ENST00000398822	P28482	0.712163361	0	16.554	4.072683811	0	0.18	0	FALSE
PPP3R1	ENST00000234310	P63098	0.711884868	0	9.4828	3.372405529	0	0.664	3	TRUE
NCALD	ENST00000519508	P61601	0.711707721	0	7.2506	2.460384607	2	0.413	1	TRUE
ATP6V0D1	ENST00000290949	P61421	0.711350365	0	17.671	3.594036341	0	0.268	0	FALSE
TUBA8	ENST00000330423	Q9NY65	0.711005389	0	14.347	3.717086077	0	1.095	5	FALSE
ATP6V0C	ENST00000330398	P27449	0.710825768	0	4.4835	2.891242504	1	0.667	3	TRUE
PRKCB	ENST00000321728	P05771	0.710465806	0	34.869	4.098180294	0	0.181	0	FALSE
RBPJ	ENST00000361572	Q06330	0.710158352	0	32.217	4.961635113	0	0.241	0	FALSE
HRAS	ENST00000451590	P01112	0.709797917	0	8.3692	1.883532643	3	0.926	4	TRUE
COPS5	ENST00000357849	Q92905	0.709676172	0	20.782	4.808196068	0	0.144	0	FALSE
TMEM50A	ENST00000374358	O95807	0.709472641	0	10.446	1.173162341	6	0.742	3	FALSE
RPL22	ENST00000234875	P35268	0.709397691	0	6.0624	1.120078087	6	1.036	5	TRUE
EIF1	ENST00000469257	P41567	0.70889202	0	5.8539	1.548156857	4	0.511	2	TRUE
GNB3	ENST00000229264	P16520	0.708747513	0	18.495	2.893693209	1	1.378	7	FALSE
TUBB6	ENST00000317702	Q9BUF5	0.708094628	0	13.868	3.568205118	0	1.041	5	FALSE
PPP2R1A	ENST00000322088	P30153	0.707989222	0	30.182	1.731273651	4	0.303	1	FALSE
RUVBL1	ENST00000322623	Q9Y265	0.707834346	0	24.476	3.745681524	0	0.194	0	FALSE
UBE2L3	ENST00000342192	P68036	0.707409369	0	6.594	1.689439297	4	0.454	2	TRUE
YWHAG	ENST00000307630	P61981	0.707400748	0	10.346	2.82174921	1	0.289	0	FALSE
